Region,Average Temp,Total Sales
Midwest,35.6,57089.0
Northeast,35.8,30510.0
Midwest,36.0,17135.0
West,36.1,45862.0
West,36.2,56461.0
Southeast,36.5,40575.0
Southeast,36.6,60296.0
Northeast,36.8,38321.0
West,36.8,62453.0
Northeast,37.0,46087.0
Midwest,37.2,38959.0
West,37.2,130512.0
Southeast,37.5,58856.0
South,38.0,30805.0
Northeast,38.0,29644.0
Northeast,38.1,28974.0
Midwest,38.2,20443.0
Northeast,38.2,55917.0
Northeast,38.4,387950.0
West,38.4,38194.0
Northeast,38.6,29949.0
Northeast,39.0,82648.0
Midwest,40.2,67345.0
West,40.2,82336.0
Midwest,40.4,124919.0
Northeast,40.4,71084.0
South,40.4,28043.0
Midwest,40.6,35746.0
Northeast,40.7,25222.0
Northeast,40.8,65718.0
West,40.9,88632.0
Midwest,40.9,13065.0
West,41.0,70900.0
Midwest,41.0,48312.0
Southeast,41.4,51716.0
Southeast,41.4,41028.0
Southeast,41.4,53026.0
Midwest,41.5,28099.0
Northeast,41.5,37739.0
Northeast,41.8,80410.0
South,42.0,29814.0
West,42.3,57312.0
Northeast,42.5,61904.0
Southeast,42.6,58091.0
South,42.6,20925.0
West,42.7,69286.0
Northeast,42.8,193503.0
West,42.9,34834.0
Northeast,42.9,76488.0
Northeast,43.0,33429.0
West,43.4,77725.0
Midwest,43.6,33115.0
Midwest,43.9,78410.0
Northeast,44.0,38644.0
Northeast,44.0,85288.0
Northeast,44.0,48129.0
West,44.6,56192.0
Northeast,44.6,75491.0
Northeast,44.6,26816.0
Midwest,44.7,38737.0
West,44.8,108292.0
West,44.8,71562.0
South,45.0,24524.0
Southeast,45.2,131503.0
West,45.2,34616.0
Midwest,45.2,53772.0
Southeast,45.5,62346.0
West,45.5,790322.0
South,45.5,131677.0
South,45.6,34782.0
Midwest,45.8,14260.0
Midwest,45.8,68539.0
Southeast,45.8,62659.0
Northeast,45.9,92517.0
West,45.9,42121.0
West,46.4,373006.0
Southeast,46.5,63829.0
Midwest,46.6,45682.0
South,46.9,34057.0
Southeast,47.0,98336.0
Midwest,47.4,32115.0
Southeast,47.4,51267.0
West,47.8,217740.0
West,48.0,56367.0
Midwest,48.1,38368.0
Northeast,48.2,73393.0
Northeast,48.4,273607.0
Northeast,48.4,53399.0
Southeast,48.6,101263.0
Northeast,48.6,61640.0
Midwest,48.9,19103.0
Northeast,48.9,65897.0
West,49.0,81409.0
Midwest,49.2,47615.0
South,49.2,45785.0
West,49.2,66646.0
Northeast,49.2,86074.0
Southeast,49.4,139356.0
Midwest,49.6,76913.0
Midwest,49.8,45214.0
Midwest,50.1,36209.0
Midwest,50.2,19940.0
Northeast,50.2,96240.0
Northeast,50.2,38186.0
Midwest,50.4,48658.0
West,50.7,72053.0
Northeast,50.8,47013.0
South,50.8,99385.0
South,50.8,41064.0
West,51.0,80475.0
Northeast,51.0,23016.0
West,51.2,69587.0
Northeast,51.4,34059.0
South,51.4,116028.0
West,51.6,90724.0
Southeast,51.9,67178.0
Midwest,52.1,31871.0
South,52.2,36424.0
West,52.3,48445.0
Northeast,52.4,47136.0
Midwest,52.4,25889.0
Southeast,52.4,66914.0
Southeast,52.5,35116.0
Northeast,52.7,55615.0
Midwest,52.8,20821.0
Southeast,52.9,39391.0
Southeast,53.1,156220.0
Midwest,53.1,31815.0
West,53.2,436639.0
Northeast,53.3,63495.0
West,53.5,47046.0
Southeast,53.5,70295.0
Northeast,53.6,47587.0
Northeast,53.6,36956.0
Northeast,54.1,59422.0
Midwest,54.2,48304.0
Southeast,54.6,94784.0
Northeast,54.6,125818.0
Southeast,54.7,60082.0
Northeast,54.8,58171.0
South,54.9,454972.0
South,55.0,70460.0
Midwest,55.1,69046.0
Midwest,55.4,33204.0
Northeast,55.4,63855.0
West,55.4,67756.0
Southeast,55.6,47731.0
South,55.7,25480.0
Midwest,55.8,51335.0
South,55.9,126107.0
Southeast,56.1,76731.0
Northeast,56.2,68596.0
West,56.2,35741.0
South,56.7,29484.0
Northeast,56.8,45089.0
West,56.8,79840.0
Midwest,57.2,38778.0
West,57.4,93665.0
Midwest,57.4,27230.0
South,57.4,32358.0
South,57.8,26956.0
West,57.9,58407.0
Midwest,58.0,36171.0
West,58.0,87453.0
Southeast,58.2,90275.0
Northeast,58.3,92408.0
Midwest,58.3,70076.0
Midwest,58.3,43343.0
Southeast,58.4,43848.0
Northeast,58.6,36649.0
West,58.6,142185.0
Southeast,58.8,65258.0
Southeast,59.1,104736.0
Northeast,59.3,56330.0
Northeast,59.6,81154.0
South,59.6,151426.0
Southeast,59.8,77330.0
Southeast,59.8,64707.0
South,60.2,300114.0
Northeast,60.3,91951.0
West,60.5,114776.0
Northeast,60.6,46355.0
South,60.8,45422.0
Midwest,60.8,86494.0
Northeast,60.9,105217.0
Midwest,61.0,32120.0
Northeast,61.0,95847.0
Midwest,61.0,29391.0
Southeast,61.0,68656.0
South,61.0,33402.0
West,61.1,76190.0
Southeast,61.2,92598.0
West,61.4,611892.0
South,61.7,49273.0
Southeast,61.9,83864.0
West,61.9,69275.0
Midwest,62.0,30618.0
Northeast,62.4,31416.0
South,62.5,58344.0
Northeast,62.6,37292.0
West,62.9,52590.0
Northeast,63.4,63979.0
Midwest,63.6,52172.0
South,63.6,70335.0
Northeast,63.6,71878.0
Midwest,63.6,36763.0
Northeast,63.9,46623.0
South,64.0,69410.0
Northeast,64.0,63754.0
Northeast,64.0,54224.0
Midwest,64.3,29221.0
West,64.6,73563.0
West,64.6,41313.0
Northeast,64.8,75683.0
Northeast,64.9,39113.0
Southeast,64.9,165898.0
Midwest,65.2,26150.0
Northeast,65.2,85338.0
Midwest,65.2,84575.0
Southeast,65.4,107021.0
Southeast,65.4,47719.0
Midwest,65.4,145641.0
Southeast,65.6,41323.0
Midwest,65.6,30415.0
Southeast,65.7,77510.0
Northeast,65.8,100267.0
Southeast,65.8,82257.0
South,66.0,66130.0
Midwest,66.0,30758.0
Northeast,66.1,89058.0
Midwest,66.1,35930.0
Midwest,66.2,24345.0
Northeast,66.2,32725.0
Midwest,66.2,28909.0
Midwest,66.2,68174.0
Northeast,66.4,49268.0
Northeast,66.4,50641.0
Northeast,66.8,84722.0
West,67.1,81919.0
Southeast,67.2,141893.0
Southeast,67.4,74890.0
West,67.4,82356.0
Northeast,67.4,95871.0
Northeast,67.4,119317.0
West,67.4,56225.0
Northeast,67.6,39613.0
Midwest,67.6,198894.0
West,67.8,34699.0
West,67.9,106303.0
Southeast,67.9,34430.0
West,67.9,125659.0
Midwest,68.2,103533.0
West,68.3,197379.0
West,68.4,125194.0
Midwest,68.6,38350.0
South,68.6,67782.0
Northeast,68.6,63668.0
Northeast,68.7,47171.0
Midwest,68.8,34992.0
Southeast,68.8,94731.0
West,68.9,175374.0
Midwest,68.9,43325.0
Northeast,69.0,119588.0
Northeast,69.0,54881.0
Midwest,69.3,44702.0
Midwest,69.4,45523.0
Southeast,69.4,95149.0
Northeast,69.5,65807.0
Southeast,69.6,100140.0
Northeast,69.7,32368.0
Midwest,69.8,26698.0
Midwest,69.8,98888.0
South,69.9,34896.0
Southeast,70.0,103416.0
Northeast,70.1,38735.0
Northeast,70.2,75553.0
West,70.2,82920.0
Southeast,70.4,59105.0
South,70.6,243260.0
Northeast,70.6,127578.0
Midwest,70.8,68924.0
Northeast,71.1,65252.0
Midwest,71.4,44343.0
Midwest,71.6,46363.0
South,71.6,55129.0
South,71.7,48448.0
South,71.8,64340.0
Midwest,71.8,26516.0
Northeast,71.9,72409.0
Midwest,72.2,114824.0
Northeast,72.2,38442.0
Southeast,72.4,51120.0
Northeast,72.5,56393.0
West,72.7,107994.0
Southeast,72.8,42846.0
Southeast,72.8,120245.0
Southeast,72.9,93052.0
Northeast,73.0,47582.0
Midwest,73.1,50830.0
Midwest,73.2,44048.0
Southeast,73.2,91372.0
West,73.2,111329.0
Northeast,73.4,82611.0
Midwest,73.4,45710.0
West,73.6,60056.0
Midwest,73.8,45995.0
Midwest,73.8,110358.0
Northeast,73.8,55082.0
Midwest,73.9,136568.0
Southeast,73.9,195763.0
Midwest,73.9,44009.0
South,74.0,368672.0
West,74.0,60730.0
South,74.1,83561.0
Southeast,74.1,87775.0
South,74.2,47332.0
Midwest,74.4,44466.0
Midwest,74.4,219391.0
Midwest,74.4,32118.0
West,74.4,85106.0
Southeast,74.6,51518.0
Midwest,74.6,35471.0
Midwest,75.0,104898.0
Northeast,75.1,42888.0
Southeast,75.4,136153.0
Northeast,75.7,66702.0
Midwest,75.7,53770.0
Northeast,75.8,53234.0
Midwest,76.2,40130.0
Southeast,76.2,230392.0
South,76.4,163815.0
Southeast,76.7,107460.0
Southeast,76.8,71304.0
Midwest,76.8,66440.0
South,76.9,459045.0
Midwest,77.0,53554.0
Northeast,77.1,41819.0
Northeast,77.2,64059.0
West,77.2,68721.0
Southeast,77.4,136628.0
South,77.4,56806.0
Southeast,77.6,65824.0
South,77.9,68083.0
South,78.0,94991.0
Southeast,78.0,152366.0
Southeast,78.2,96797.0
Midwest,78.4,71878.0
Southeast,78.4,171407.0
South,78.6,83167.0
South,79.0,49143.0
South,79.4,116683.0
Southeast,79.6,247084.0
South,79.7,195811.0
South,79.8,54244.0
South,79.9,100391.0
South,80.0,519894.0
West,80.4,86992.0
South,80.6,88869.0
South,80.8,111965.0
West,81.0,91025.0
South,81.1,221822.0
Southeast,81.1,70734.0
Southeast,81.3,222749.0
South,81.4,142559.0
South,82.2,197875.0
Southeast,82.2,201685.0
