Date,Region,Total Sales
2021-10-01,Northeast,46355
2021-10-01,Northeast,92408
2021-10-01,Northeast,32725
2021-10-01,Northeast,37292
2021-10-01,West,56225
2021-11-01,West,88632
2021-11-01,Southeast,95149
2021-11-01,Midwest,33115
2021-11-01,South,32358
2021-11-01,Northeast,65897
2021-11-01,Northeast,38186
2021-11-01,Northeast,76488
2021-11-01,Southeast,77330
2021-11-01,Northeast,59422
2021-11-01,Southeast,70295
2021-11-01,West,58407
2021-11-01,Northeast,92517
2021-11-01,Southeast,39391
2021-11-01,Northeast,273607
2021-11-01,Northeast,36956
2021-11-01,Northeast,47013
2021-11-01,Midwest,31815
2021-11-01,Midwest,48658
2021-11-01,Northeast,193503
2021-11-01,Northeast,85288
2021-11-01,Midwest,68539
2021-11-01,South,69410
2021-11-01,Southeast,104736
2021-11-01,West,82336
2021-11-01,West,34616
2021-11-01,Northeast,47136
2021-11-01,South,45422
2021-11-01,Midwest,38737
2021-11-01,West,90724
2021-11-01,Midwest,20821
2021-11-01,South,26956
2021-11-01,West,71562
2021-11-01,Midwest,32115
2021-11-01,Southeast,76731
2021-11-01,Midwest,36209
2021-11-01,Midwest,35746
2021-11-01,Northeast,61640
2021-12-01,South,126107
2021-12-01,South,116028
2021-12-01,Midwest,59919
2021-12-01,Midwest,124919
2021-12-01,Northeast,107386
2021-12-01,West,72053
2021-12-01,Midwest,54254
2021-12-01,Northeast,61904
2021-12-01,West,108292
2021-12-01,Southeast,139356
2021-12-01,Midwest,53772
2021-12-01,South,99385
2021-12-01,West,62453
2021-12-01,Midwest,103089
2021-12-01,Midwest,67345
2021-12-01,West,125643
2021-12-01,Midwest,57089
2021-12-01,Midwest,53905
2021-12-01,Midwest,78410
2021-12-01,Northeast,114181
2021-12-01,Southeast,62346
2021-12-01,Northeast,96159
2021-12-01,Southeast,94784
2021-12-01,Southeast,156220
2021-12-01,South,151426
2021-12-01,Southeast,165898
2021-12-01,Northeast,145377
2021-12-01,Northeast,65718
2021-12-01,Southeast,131503
2021-12-01,Northeast,48129
2021-12-01,Northeast,75491
2021-12-01,Northeast,84333
2021-12-01,Northeast,303617
2021-12-01,West,130512
2021-12-01,Northeast,82648
2021-12-01,Northeast,80410
2021-12-01,West,87658
