State,Year,Region,Month,Gender,Product,Units Sold,Total Sales
Alaska,2021,West,12,Men's,Street Footwear,774,57006
Arizona,2021,West,1,Men's,Apparel,449,20452
Arizona,2021,West,1,Men's,Athletic Footwear,760,31581
Arizona,2021,West,1,Men's,Street Footwear,760,25117
Arizona,2021,West,1,Women's,Apparel,769,32727
Arizona,2021,West,1,Women's,Athletic Footwear,511,21310
Arizona,2021,West,1,Women's,Street Footwear,770,32195
Arizona,2021,West,2,Men's,Apparel,245,10434
Arizona,2021,West,2,Men's,Athletic Footwear,667,28685
Arizona,2021,West,2,Men's,Street Footwear,845,27896
Arizona,2021,West,2,Women's,Apparel,554,20940
Arizona,2021,West,2,Women's,Athletic Footwear,356,13162
Arizona,2021,West,2,Women's,Street Footwear,668,28296
Arizona,2021,West,3,Men's,Apparel,195,10148
Arizona,2021,West,3,Men's,Athletic Footwear,561,26468
Arizona,2021,West,3,Men's,Street Footwear,805,30005
Arizona,2021,West,3,Women's,Apparel,520,24345
Arizona,2021,West,3,Women's,Athletic Footwear,361,17030
Arizona,2021,West,3,Women's,Street Footwear,560,26362
Arizona,2021,West,4,Men's,Apparel,236,12221
Arizona,2021,West,4,Men's,Athletic Footwear,480,24600
Arizona,2021,West,4,Men's,Street Footwear,805,38240
Arizona,2021,West,4,Women's,Apparel,530,34487
Arizona,2021,West,4,Women's,Athletic Footwear,403,19070
Arizona,2021,West,4,Women's,Street Footwear,575,29516
Arizona,2021,West,5,Men's,Apparel,320,16376
Arizona,2021,West,5,Men's,Athletic Footwear,604,30790
Arizona,2021,West,5,Men's,Street Footwear,856,40151
Arizona,2021,West,5,Women's,Apparel,597,39094
Arizona,2021,West,5,Women's,Athletic Footwear,483,23037
Arizona,2021,West,5,Women's,Street Footwear,652,33412
Arizona,2021,West,6,Men's,Apparel,365,18939
Arizona,2021,West,6,Men's,Athletic Footwear,756,38311
Arizona,2021,West,6,Men's,Street Footwear,975,45916
Arizona,2021,West,6,Women's,Apparel,814,53057
Arizona,2021,West,6,Women's,Athletic Footwear,550,25860
Arizona,2021,West,6,Women's,Street Footwear,760,39190
Arizona,2021,West,7,Men's,Apparel,698,35831
Arizona,2021,West,7,Men's,Athletic Footwear,830,42495
Arizona,2021,West,7,Men's,Street Footwear,1087,51994
Arizona,2021,West,7,Women's,Apparel,693,44661
Arizona,2021,West,7,Women's,Athletic Footwear,589,27666
Arizona,2021,West,7,Women's,Street Footwear,765,39031
Arizona,2021,West,8,Men's,Apparel,652,38964
Arizona,2021,West,8,Men's,Athletic Footwear,926,52417
Arizona,2021,West,8,Men's,Street Footwear,982,50479
Arizona,2021,West,8,Women's,Apparel,600,38648
Arizona,2021,West,8,Women's,Athletic Footwear,632,32984
Arizona,2021,West,8,Women's,Street Footwear,716,36513
Arizona,2021,West,9,Men's,Apparel,608,31543
Arizona,2021,West,9,Men's,Athletic Footwear,937,42829
Arizona,2021,West,9,Men's,Street Footwear,926,39162
Arizona,2021,West,9,Women's,Apparel,676,37840
Arizona,2021,West,9,Women's,Athletic Footwear,612,25600
Arizona,2021,West,9,Women's,Street Footwear,698,29559
Arizona,2021,West,10,Men's,Apparel,432,22654
Arizona,2021,West,10,Men's,Athletic Footwear,820,37590
Arizona,2021,West,10,Men's,Street Footwear,805,34155
Arizona,2021,West,10,Women's,Apparel,517,29289
Arizona,2021,West,10,Women's,Athletic Footwear,492,20634
Arizona,2021,West,10,Women's,Street Footwear,527,22070
Arizona,2021,West,11,Men's,Apparel,486,25467
Arizona,2021,West,11,Men's,Athletic Footwear,835,39206
Arizona,2021,West,11,Men's,Street Footwear,785,32820
Arizona,2021,West,11,Women's,Apparel,676,37065
Arizona,2021,West,11,Women's,Athletic Footwear,564,23694
Arizona,2021,West,11,Women's,Street Footwear,604,25587
Arizona,2021,West,12,Men's,Apparel,547,28404
Arizona,2021,West,12,Men's,Athletic Footwear,1013,46854
Arizona,2021,West,12,Men's,Street Footwear,1000,42879
Arizona,2021,West,12,Women's,Apparel,720,40635
Arizona,2021,West,12,Women's,Athletic Footwear,668,28281
Arizona,2021,West,12,Women's,Street Footwear,684,29174
Arkansas,2021,South,1,Men's,Apparel,446,14358
Arkansas,2021,South,1,Men's,Athletic Footwear,608,14332
Arkansas,2021,South,1,Men's,Street Footwear,920,21409
Arkansas,2021,South,1,Women's,Apparel,600,13930
Arkansas,2021,South,1,Women's,Athletic Footwear,364,6632
Arkansas,2021,South,1,Women's,Street Footwear,604,8405
Arkansas,2021,South,2,Men's,Apparel,534,17260
Arkansas,2021,South,2,Men's,Athletic Footwear,438,10126
Arkansas,2021,South,2,Men's,Street Footwear,1000,23389
Arkansas,2021,South,2,Women's,Apparel,685,13005
Arkansas,2021,South,2,Women's,Athletic Footwear,398,7430
Arkansas,2021,South,2,Women's,Street Footwear,514,7416
Arkansas,2021,South,3,Men's,Apparel,403,12942
Arkansas,2021,South,3,Men's,Athletic Footwear,530,9958
Arkansas,2021,South,3,Men's,Street Footwear,1032,19248
Arkansas,2021,South,3,Women's,Apparel,564,13438
Arkansas,2021,South,3,Women's,Athletic Footwear,330,6189
Arkansas,2021,South,3,Women's,Street Footwear,550,5276
Arkansas,2021,South,4,Men's,Apparel,398,15026
Arkansas,2021,South,4,Men's,Athletic Footwear,483,11484
Arkansas,2021,South,4,Men's,Street Footwear,978,22878
Arkansas,2021,South,4,Women's,Apparel,636,18128
Arkansas,2021,South,4,Women's,Athletic Footwear,365,6760
Arkansas,2021,South,4,Women's,Street Footwear,471,6606
Arkansas,2021,South,5,Men's,Apparel,521,21746
Arkansas,2021,South,5,Men's,Athletic Footwear,604,22542
Arkansas,2021,South,5,Men's,Street Footwear,1079,39787
Arkansas,2021,South,5,Women's,Apparel,681,28793
Arkansas,2021,South,5,Women's,Athletic Footwear,468,15312
Arkansas,2021,South,5,Women's,Street Footwear,560,18557
Arkansas,2021,South,6,Men's,Apparel,589,30208
Arkansas,2021,South,6,Men's,Athletic Footwear,680,21992
Arkansas,2021,South,6,Men's,Street Footwear,1114,40916
Arkansas,2021,South,6,Women's,Apparel,875,49560
Arkansas,2021,South,6,Women's,Athletic Footwear,597,22222
Arkansas,2021,South,6,Women's,Street Footwear,628,23424
Arkansas,2021,South,7,Men's,Apparel,693,38005
Arkansas,2021,South,7,Men's,Athletic Footwear,835,39027
Arkansas,2021,South,7,Men's,Street Footwear,1279,64843
Arkansas,2021,South,7,Women's,Apparel,948,58350
Arkansas,2021,South,7,Women's,Athletic Footwear,636,26956
Arkansas,2021,South,7,Women's,Street Footwear,716,30148
Arkansas,2021,South,8,Men's,Apparel,601,28694
Arkansas,2021,South,8,Men's,Athletic Footwear,840,43321
Arkansas,2021,South,8,Men's,Street Footwear,1193,66569
Arkansas,2021,South,8,Women's,Apparel,886,45120
Arkansas,2021,South,8,Women's,Athletic Footwear,636,23884
Arkansas,2021,South,8,Women's,Street Footwear,711,33822
Arkansas,2021,South,9,Men's,Apparel,530,12285
Arkansas,2021,South,9,Men's,Athletic Footwear,711,26424
Arkansas,2021,South,9,Men's,Street Footwear,1053,48971
Arkansas,2021,South,9,Women's,Apparel,684,19281
Arkansas,2021,South,9,Women's,Athletic Footwear,517,7355
Arkansas,2021,South,9,Women's,Street Footwear,561,7835
Arkansas,2021,South,10,Men's,Apparel,449,12402
Arkansas,2021,South,10,Men's,Athletic Footwear,663,12362
Arkansas,2021,South,10,Men's,Street Footwear,930,25830
Arkansas,2021,South,10,Women's,Apparel,636,17656
Arkansas,2021,South,10,Women's,Athletic Footwear,441,8278
Arkansas,2021,South,10,Women's,Street Footwear,477,9066
Arkansas,2021,South,11,Men's,Apparel,546,38409
Arkansas,2021,South,11,Men's,Athletic Footwear,585,8217
Arkansas,2021,South,11,Men's,Street Footwear,869,20350
Arkansas,2021,South,11,Women's,Apparel,702,49446
Arkansas,2021,South,11,Women's,Athletic Footwear,612,31432
Arkansas,2021,South,11,Women's,Street Footwear,512,12008
Arkansas,2021,South,12,Men's,Apparel,644,41768
Arkansas,2021,South,12,Men's,Athletic Footwear,795,44690
Arkansas,2021,South,12,Men's,Street Footwear,1141,75691
Arkansas,2021,South,12,Women's,Apparel,820,57350
Arkansas,2021,South,12,Women's,Athletic Footwear,644,35800
Arkansas,2021,South,12,Women's,Street Footwear,725,40337
California,2020,West,11,Men's,Apparel,1714,87840
California,2020,West,11,Men's,Athletic Footwear,2280,116303
California,2020,West,11,Men's,Street Footwear,2689,112905
California,2020,West,11,Women's,Apparel,2333,108857
California,2020,West,11,Women's,Athletic Footwear,915,43210
California,2020,West,11,Women's,Street Footwear,2281,118769
California,2020,West,12,Men's,Apparel,1650,100679
California,2020,West,12,Men's,Athletic Footwear,1094,67477
California,2020,West,12,Men's,Street Footwear,2796,156100
California,2020,West,12,Women's,Apparel,2303,149191
California,2020,West,12,Women's,Athletic Footwear,1979,112560
California,2020,West,12,Women's,Street Footwear,1189,72249
California,2021,West,1,Men's,Apparel,5429,340637
California,2021,West,1,Men's,Athletic Footwear,8236,495112
California,2021,West,1,Men's,Street Footwear,7632,417741
California,2021,West,1,Women's,Apparel,6227,451161
California,2021,West,1,Women's,Athletic Footwear,5752,322563
California,2021,West,1,Women's,Street Footwear,6338,372581
California,2021,West,2,Men's,Apparel,3214,194545
California,2021,West,2,Men's,Athletic Footwear,4117,217246
California,2021,West,2,Men's,Street Footwear,4118,190326
California,2021,West,2,Women's,Apparel,3617,236508
California,2021,West,2,Women's,Athletic Footwear,3461,177603
California,2021,West,2,Women's,Street Footwear,3538,182680
California,2021,West,3,Men's,Apparel,2162,101717
California,2021,West,3,Men's,Athletic Footwear,2133,89538
California,2021,West,3,Men's,Street Footwear,2495,81868
California,2021,West,3,Women's,Apparel,2126,88174
California,2021,West,3,Women's,Athletic Footwear,2628,110659
California,2021,West,3,Women's,Street Footwear,3213,135872
California,2021,West,4,Men's,Apparel,3317,155724
California,2021,West,4,Men's,Athletic Footwear,4494,208691
California,2021,West,4,Men's,Street Footwear,5476,230346
California,2021,West,4,Women's,Apparel,5382,308365
California,2021,West,4,Women's,Athletic Footwear,3808,159168
California,2021,West,4,Women's,Street Footwear,4428,206293
California,2021,West,5,Men's,Apparel,5057,283835
California,2021,West,5,Men's,Athletic Footwear,6727,347244
California,2021,West,5,Men's,Street Footwear,7604,355427
California,2021,West,5,Women's,Apparel,5460,330228
California,2021,West,5,Women's,Athletic Footwear,5282,245796
California,2021,West,5,Women's,Street Footwear,5495,256465
California,2021,West,6,Men's,Athletic Footwear,443,18353
California,2021,West,6,Women's,Athletic Footwear,200,7365
California,2021,West,6,Women's,Street Footwear,452,14537
Colorado,2020,West,3,Men's,Apparel,728,35099
Colorado,2020,West,3,Men's,Athletic Footwear,1048,46593
Colorado,2020,West,3,Men's,Street Footwear,1371,47392
Colorado,2020,West,3,Women's,Apparel,1119,44028
Colorado,2020,West,3,Women's,Athletic Footwear,737,34681
Colorado,2020,West,3,Women's,Street Footwear,1064,49589
Colorado,2020,West,4,Men's,Apparel,2150,150393
Colorado,2020,West,4,Men's,Athletic Footwear,3295,223985
Colorado,2020,West,4,Men's,Street Footwear,4124,257517
Colorado,2020,West,4,Women's,Apparel,2944,228546
Colorado,2020,West,4,Women's,Athletic Footwear,2531,161869
Colorado,2020,West,4,Women's,Street Footwear,3115,207518
Colorado,2020,West,5,Men's,Apparel,1915,138140
Colorado,2020,West,5,Men's,Athletic Footwear,3633,225486
Colorado,2020,West,5,Men's,Street Footwear,3619,203534
Colorado,2020,West,5,Women's,Apparel,2778,209130
Colorado,2020,West,5,Women's,Athletic Footwear,2429,146437
Colorado,2020,West,5,Women's,Street Footwear,2778,159095
Connecticut,2021,Northeast,1,Men's,Apparel,202,8573
Connecticut,2021,Northeast,1,Men's,Athletic Footwear,367,12229
Connecticut,2021,Northeast,1,Men's,Street Footwear,689,22212
Connecticut,2021,Northeast,1,Women's,Apparel,360,11826
Connecticut,2021,Northeast,1,Women's,Athletic Footwear,119,3406
Connecticut,2021,Northeast,1,Women's,Street Footwear,360,8505
Connecticut,2021,Northeast,2,Men's,Apparel,326,15514
Connecticut,2021,Northeast,2,Men's,Athletic Footwear,202,6583
Connecticut,2021,Northeast,2,Men's,Street Footwear,756,24559
Connecticut,2021,Northeast,2,Women's,Apparel,480,18348
Connecticut,2021,Northeast,2,Women's,Athletic Footwear,198,6399
Connecticut,2021,Northeast,2,Women's,Street Footwear,277,6505
Connecticut,2021,Northeast,3,Men's,Apparel,242,11439
Connecticut,2021,Northeast,3,Men's,Athletic Footwear,349,13304
Connecticut,2021,Northeast,3,Men's,Street Footwear,832,30602
Connecticut,2021,Northeast,3,Women's,Apparel,408,15239
Connecticut,2021,Northeast,3,Women's,Athletic Footwear,164,5378
Connecticut,2021,Northeast,3,Women's,Street Footwear,393,11197
Connecticut,2021,Northeast,4,Men's,Apparel,200,9340
Connecticut,2021,Northeast,4,Men's,Athletic Footwear,322,12124
Connecticut,2021,Northeast,4,Men's,Street Footwear,805,29740
Connecticut,2021,Northeast,4,Women's,Apparel,438,15928
Connecticut,2021,Northeast,4,Women's,Athletic Footwear,204,6657
Connecticut,2021,Northeast,4,Women's,Street Footwear,320,8904
Connecticut,2021,Northeast,5,Men's,Apparel,403,20320
Connecticut,2021,Northeast,5,Men's,Athletic Footwear,406,18909
Connecticut,2021,Northeast,5,Men's,Street Footwear,878,45282
Connecticut,2021,Northeast,5,Women's,Apparel,616,33963
Connecticut,2021,Northeast,5,Women's,Athletic Footwear,362,15265
Connecticut,2021,Northeast,5,Women's,Street Footwear,432,18213
Connecticut,2021,Northeast,6,Men's,Apparel,440,22322
Connecticut,2021,Northeast,6,Men's,Athletic Footwear,593,27974
Connecticut,2021,Northeast,6,Men's,Street Footwear,1006,51364
Connecticut,2021,Northeast,6,Women's,Apparel,676,37380
Connecticut,2021,Northeast,6,Women's,Athletic Footwear,440,18710
Connecticut,2021,Northeast,6,Women's,Street Footwear,483,20514
Connecticut,2021,Northeast,7,Men's,Apparel,474,24791
Connecticut,2021,Northeast,7,Men's,Athletic Footwear,632,29936
Connecticut,2021,Northeast,7,Men's,Street Footwear,1034,54145
Connecticut,2021,Northeast,7,Women's,Apparel,770,42588
Connecticut,2021,Northeast,7,Women's,Athletic Footwear,449,18931
Connecticut,2021,Northeast,7,Women's,Street Footwear,517,21408
Connecticut,2021,Northeast,8,Men's,Apparel,314,16317
Connecticut,2021,Northeast,8,Men's,Athletic Footwear,636,29536
Connecticut,2021,Northeast,8,Men's,Street Footwear,982,50447
Connecticut,2021,Northeast,8,Women's,Apparel,604,33731
Connecticut,2021,Northeast,8,Women's,Athletic Footwear,365,15217
Connecticut,2021,Northeast,8,Women's,Street Footwear,517,21962
Connecticut,2021,Northeast,9,Men's,Apparel,284,14552
Connecticut,2021,Northeast,9,Men's,Athletic Footwear,468,22245
Connecticut,2021,Northeast,9,Men's,Street Footwear,795,41309
Connecticut,2021,Northeast,9,Women's,Apparel,441,24717
Connecticut,2021,Northeast,9,Women's,Athletic Footwear,279,11501
Connecticut,2021,Northeast,9,Women's,Street Footwear,324,13572
Connecticut,2021,Northeast,10,Men's,Apparel,237,14688
Connecticut,2021,Northeast,10,Men's,Athletic Footwear,441,22535
Connecticut,2021,Northeast,10,Men's,Street Footwear,716,40705
Connecticut,2021,Northeast,10,Women's,Apparel,443,28236
Connecticut,2021,Northeast,10,Women's,Athletic Footwear,233,12085
Connecticut,2021,Northeast,10,Women's,Street Footwear,285,14418
Connecticut,2021,Northeast,11,Men's,Apparel,406,24202
Connecticut,2021,Northeast,11,Men's,Athletic Footwear,489,24669
Connecticut,2021,Northeast,11,Men's,Street Footwear,685,41884
Connecticut,2021,Northeast,11,Women's,Apparel,561,36897
Connecticut,2021,Northeast,11,Women's,Athletic Footwear,438,22362
Connecticut,2021,Northeast,11,Women's,Street Footwear,478,24013
Connecticut,2021,Northeast,12,Men's,Apparel,477,28338
Connecticut,2021,Northeast,12,Men's,Athletic Footwear,607,30623
Connecticut,2021,Northeast,12,Men's,Street Footwear,898,54010
Connecticut,2021,Northeast,12,Women's,Apparel,632,41744
Connecticut,2021,Northeast,12,Women's,Athletic Footwear,483,24759
Connecticut,2021,Northeast,12,Women's,Street Footwear,554,28638
Delaware,2021,Northeast,1,Men's,Apparel,222,9802
Delaware,2021,Northeast,1,Men's,Athletic Footwear,352,12166
Delaware,2021,Northeast,1,Men's,Street Footwear,613,21041
Delaware,2021,Northeast,1,Women's,Apparel,344,11902
Delaware,2021,Northeast,1,Women's,Athletic Footwear,163,4776
Delaware,2021,Northeast,1,Women's,Street Footwear,347,8603
Delaware,2021,Northeast,2,Men's,Apparel,290,14175
Delaware,2021,Northeast,2,Men's,Athletic Footwear,228,7821
Delaware,2021,Northeast,2,Men's,Street Footwear,672,23373
Delaware,2021,Northeast,2,Women's,Apparel,423,16822
Delaware,2021,Northeast,2,Women's,Athletic Footwear,195,6735
Delaware,2021,Northeast,2,Women's,Street Footwear,288,7137
Delaware,2021,Northeast,3,Men's,Apparel,224,11004
Delaware,2021,Northeast,3,Men's,Athletic Footwear,318,12652
Delaware,2021,Northeast,3,Men's,Street Footwear,703,27488
Delaware,2021,Northeast,3,Women's,Apparel,347,13808
Delaware,2021,Northeast,3,Women's,Athletic Footwear,156,5367
Delaware,2021,Northeast,3,Women's,Street Footwear,344,10251
Delaware,2021,Northeast,4,Men's,Apparel,195,9615
Delaware,2021,Northeast,4,Men's,Athletic Footwear,286,11318
Delaware,2021,Northeast,4,Men's,Street Footwear,656,25716
Delaware,2021,Northeast,4,Women's,Apparel,378,14964
Delaware,2021,Northeast,4,Women's,Athletic Footwear,194,6658
Delaware,2021,Northeast,4,Women's,Street Footwear,284,8343
Delaware,2021,Northeast,5,Men's,Apparel,349,18824
Delaware,2021,Northeast,5,Men's,Athletic Footwear,344,16993
Delaware,2021,Northeast,5,Men's,Street Footwear,730,39509
Delaware,2021,Northeast,5,Women's,Apparel,504,29616
Delaware,2021,Northeast,5,Women's,Athletic Footwear,315,13915
Delaware,2021,Northeast,5,Women's,Street Footwear,381,16821
Delaware,2021,Northeast,6,Men's,Apparel,375,20249
Delaware,2021,Northeast,6,Men's,Athletic Footwear,520,25760
Delaware,2021,Northeast,6,Men's,Street Footwear,839,45388
Delaware,2021,Northeast,6,Women's,Apparel,585,34560
Delaware,2021,Northeast,6,Women's,Athletic Footwear,375,16575
Delaware,2021,Northeast,6,Women's,Street Footwear,410,18280
Delaware,2021,Northeast,7,Men's,Apparel,419,22668
Delaware,2021,Northeast,7,Men's,Athletic Footwear,544,26843
Delaware,2021,Northeast,7,Men's,Street Footwear,857,46770
Delaware,2021,Northeast,7,Women's,Apparel,645,37975
Delaware,2021,Northeast,7,Women's,Athletic Footwear,390,17370
Delaware,2021,Northeast,7,Women's,Street Footwear,452,19932
Delaware,2021,Northeast,8,Men's,Apparel,288,15524
Delaware,2021,Northeast,8,Men's,Athletic Footwear,553,27266
Delaware,2021,Northeast,8,Men's,Street Footwear,813,43899
Delaware,2021,Northeast,8,Women's,Apparel,520,31080
Delaware,2021,Northeast,8,Women's,Athletic Footwear,313,13833
Delaware,2021,Northeast,8,Women's,Street Footwear,455,20160
Delaware,2021,Northeast,9,Men's,Apparel,260,13999
Delaware,2021,Northeast,9,Men's,Athletic Footwear,410,20245
Delaware,2021,Northeast,9,Men's,Street Footwear,667,35974
Delaware,2021,Northeast,9,Women's,Apparel,384,22872
Delaware,2021,Northeast,9,Women's,Athletic Footwear,260,11460
Delaware,2021,Northeast,9,Women's,Street Footwear,286,12748
Delaware,2021,Northeast,10,Men's,Apparel,224,14413
Delaware,2021,Northeast,10,Men's,Athletic Footwear,390,21090
Delaware,2021,Northeast,10,Men's,Street Footwear,603,35668
Delaware,2021,Northeast,10,Women's,Apparel,378,25914
Delaware,2021,Northeast,10,Women's,Athletic Footwear,219,11913
Delaware,2021,Northeast,10,Women's,Street Footwear,252,13600
Delaware,2021,Northeast,11,Men's,Apparel,347,22195
Delaware,2021,Northeast,11,Men's,Athletic Footwear,410,22380
Delaware,2021,Northeast,11,Men's,Street Footwear,585,37350
Delaware,2021,Northeast,11,Women's,Apparel,473,32522
Delaware,2021,Northeast,11,Women's,Athletic Footwear,384,20784
Delaware,2021,Northeast,11,Women's,Street Footwear,406,22072
Delaware,2021,Northeast,12,Men's,Apparel,416,26676
Delaware,2021,Northeast,12,Men's,Athletic Footwear,500,27000
Delaware,2021,Northeast,12,Men's,Street Footwear,768,49416
Delaware,2021,Northeast,12,Women's,Apparel,548,37745
Delaware,2021,Northeast,12,Women's,Athletic Footwear,423,23069
Delaware,2021,Northeast,12,Women's,Street Footwear,484,26075
Florida,2020,Southeast,4,Men's,Apparel,1792,102185
Florida,2020,Southeast,4,Men's,Athletic Footwear,2935,150835
Florida,2020,Southeast,4,Men's,Street Footwear,4016,211777
Florida,2020,Southeast,4,Women's,Apparel,2081,114649
Florida,2020,Southeast,4,Women's,Athletic Footwear,1714,76757
Florida,2020,Southeast,4,Women's,Street Footwear,1866,78207
Florida,2020,Southeast,5,Men's,Apparel,977,62495
Florida,2020,Southeast,5,Men's,Athletic Footwear,1129,61079
Florida,2020,Southeast,5,Men's,Street Footwear,1398,90224
Florida,2020,Southeast,5,Women's,Apparel,1094,75266
Florida,2020,Southeast,5,Women's,Athletic Footwear,984,53911
Florida,2020,Southeast,5,Women's,Street Footwear,1073,58271
Florida,2020,Southeast,8,Men's,Apparel,2770,150575
Florida,2020,Southeast,8,Men's,Athletic Footwear,1920,85335
Florida,2020,Southeast,8,Men's,Street Footwear,2757,122355
Florida,2020,Southeast,8,Women's,Apparel,3168,140013
Florida,2020,Southeast,8,Women's,Athletic Footwear,1644,64722
Florida,2020,Southeast,8,Women's,Street Footwear,2032,69749
Florida,2020,Southeast,9,Men's,Apparel,3926,232834
Florida,2020,Southeast,9,Men's,Athletic Footwear,4422,240270
Florida,2020,Southeast,9,Men's,Street Footwear,5482,331977
Florida,2020,Southeast,9,Women's,Apparel,4654,298498
Florida,2020,Southeast,9,Women's,Athletic Footwear,3943,190495
Florida,2020,Southeast,9,Women's,Street Footwear,4079,206910
Florida,2020,Southeast,10,Men's,Apparel,1834,114003
Florida,2020,Southeast,10,Men's,Athletic Footwear,1339,61871
Florida,2020,Southeast,10,Men's,Street Footwear,1800,92237
Florida,2020,Southeast,10,Women's,Apparel,2111,139914
Florida,2020,Southeast,10,Women's,Athletic Footwear,1985,95592
Florida,2020,Southeast,10,Women's,Street Footwear,2210,101107
Florida,2021,Southeast,1,Men's,Apparel,908,45613
Florida,2021,Southeast,1,Men's,Athletic Footwear,1060,45522
Florida,2021,Southeast,1,Men's,Street Footwear,1377,56865
Florida,2021,Southeast,1,Women's,Apparel,1047,44729
Florida,2021,Southeast,1,Women's,Athletic Footwear,815,30465
Florida,2021,Southeast,1,Women's,Street Footwear,1021,33410
Florida,2021,Southeast,2,Men's,Apparel,322,16848
