Year-Month,Category,Subcategory,State,Units Sold,Total Sales,Total Operating Profit
2021-01,Athletic Footwear,Women's,Virginia,652,18219,7081.17
2021-01,Athletic Footwear,Women's,West Virginia,95,2810,1067.5
2021-01,Athletic Footwear,Women's,Wisconsin,194,5732,2166.36
2021-01,Athletic Footwear,Women's,Wyoming,254,10052,3764.44
2021-01,Street Footwear,Men's,Alaska,484,16722,4648.110000000001
2021-01,Street Footwear,Men's,Arizona,760,25117,9651.65
2021-01,Street Footwear,Men's,Arkansas,920,21409,9296.460000000001
2021-01,Street Footwear,Men's,California,7632,417741,153960.22
2021-01,Street Footwear,Men's,Connecticut,689,22212,8444.19
2021-01,Street Footwear,Men's,Delaware,613,21041,8026.75
2021-01,Street Footwear,Men's,Florida,1377,56865,27124.350000000002
2021-01,Street Footwear,Men's,Georgia,1630,60058,28505.5
2021-01,Street Footwear,Men's,Hawaii,540,21370,6979.1
2021-01,Street Footwear,Men's,Idaho,680,19328,7369.83
2021-01,Street Footwear,Men's,Indiana,625,21500,9080.0
2021-01,Street Footwear,Men's,Iowa,576,17028,5637.6
2021-01,Street Footwear,Men's,Kansas,613,24244,9219.56
2021-01,Street Footwear,Men's,Kentucky,914,27231,11659.74
2021-01,Street Footwear,Men's,Louisiana,1080,20080,6598.42
2021-01,Street Footwear,Men's,Maine,473,16359,4413.15
2021-01,Street Footwear,Men's,Maryland,662,25932,9569.399999999998
2021-01,Street Footwear,Men's,Massachusetts,856,36578,17567.45
2021-01,Street Footwear,Men's,Michigan,781,22962,9606.0
2021-01,Street Footwear,Men's,Mississippi,1041,24129,10262.44
2021-01,Street Footwear,Men's,Missouri,871,21383,9229.4
2021-01,Street Footwear,Men's,Montana,3736,144301,68679.21
2021-01,Street Footwear,Men's,New Hampshire,810,40980,15291.200000000003
2021-01,Street Footwear,Men's,New Jersey,625,24750,10422.5
2021-01,Street Footwear,Men's,New Mexico,730,20874,8982.050000000001
2021-01,Street Footwear,Men's,New York,1016,40424,21307.12
2021-01,Street Footwear,Men's,North Carolina,969,33333,14078.16
2021-01,Street Footwear,Men's,North Dakota,563,16551,5422.95
2021-01,Street Footwear,Men's,Ohio,635,24995,10697.3
2021-01,Street Footwear,Men's,Oklahoma,875,20169,7628.6900000000005
2021-01,Street Footwear,Men's,Oregon,620,20660,8694.199999999999
2021-01,Street Footwear,Men's,Rhode Island,716,26708,8752.44
2021-01,Street Footwear,Men's,South Carolina,1156,39998,16761.5
2021-01,Street Footwear,Men's,South Dakota,603,20849,7719.549999999999
2021-01,Street Footwear,Men's,Utah,557,15762,5912.999999999999
2021-01,Street Footwear,Men's,Vermont,829,38551,16559.71
2021-01,Street Footwear,Men's,Virginia,1186,38511,20121.9
2021-01,Street Footwear,Men's,West Virginia,531,18373,7699.0
2021-01,Street Footwear,Men's,Wisconsin,640,21980,9329.6
2021-01,Street Footwear,Men's,Wyoming,441,13139,4888.94
2021-01,Street Footwear,Women's,Alaska,488,21508,5886.63
2021-01,Street Footwear,Women's,Arizona,770,32195,12106.769999999999
2021-01,Street Footwear,Women's,Arkansas,604,8405,3621.8
2021-01,Street Footwear,Women's,California,6338,372581,144964.91
2021-01,Street Footwear,Women's,Connecticut,360,8505,3656.16
2021-01,Street Footwear,Women's,Delaware,347,8603,3631.2799999999997
2021-01,Street Footwear,Women's,Florida,1021,33410,9265.619999999999
2021-01,Street Footwear,Women's,Georgia,1337,38278,11019.9
2021-01,Street Footwear,Women's,Hawaii,548,26785,8644.35
2021-01,Street Footwear,Women's,Idaho,676,25417,9624.83
2021-01,Street Footwear,Women's,Indiana,387,9675,4196.25
2021-01,Street Footwear,Women's,Iowa,315,6170,1979.7
2021-01,Street Footwear,Women's,Kansas,358,10491,3461.04
2021-01,Street Footwear,Women's,Kentucky,683,13344,5764.2
2021-01,Street Footwear,Women's,Louisiana,756,20984,6866.54
2021-01,Street Footwear,Women's,Maine,476,21218,5955.95
2021-01,Street Footwear,Women's,Maryland,416,12389,5298.67
2021-01,Street Footwear,Women's,Massachusetts,517,17014,6382.449999999999
2021-01,Street Footwear,Women's,Michigan,548,10837,4026.6499999999996
2021-01,Street Footwear,Women's,Mississippi,707,9928,4212.98
2021-01,Street Footwear,Women's,Missouri,618,9127,3434.69
2021-01,Street Footwear,Women's,Montana,2896,129296,61464.24
2021-01,Street Footwear,Women's,New Hampshire,489,20925,5696.55
2021-01,Street Footwear,Women's,New Jersey,390,11520,3708.0
2021-01,Street Footwear,Women's,New Mexico,716,27268,10336.2
2021-01,Street Footwear,Women's,New York,768,22872,8638.56
2021-01,Street Footwear,Women's,North Carolina,742,18383,7914.32
2021-01,Street Footwear,Women's,North Dakota,318,6292,2081.4
2021-01,Street Footwear,Women's,Ohio,375,11100,4692.0
2021-01,Street Footwear,Women's,Oklahoma,554,7874,2985.66
2021-01,Street Footwear,Women's,Oregon,640,27040,11616.96
2021-01,Street Footwear,Women's,Rhode Island,398,11121,3063.06
2021-01,Street Footwear,Women's,South Carolina,914,22661,9699.44
2021-01,Street Footwear,Women's,South Dakota,349,8725,2802.5
2021-01,Street Footwear,Women's,Utah,560,21350,8135.049999999999
2021-01,Street Footwear,Women's,Vermont,507,18906,6303.18
2021-01,Street Footwear,Women's,Virginia,875,20345,6509.56
2021-01,Street Footwear,Women's,West Virginia,288,7137,2664.2699999999995
2021-01,Street Footwear,Women's,Wisconsin,387,9588,3564.6
2021-01,Street Footwear,Women's,Wyoming,441,17549,6497.05
2021-02,Apparel,Men's,Alaska,325,20750,5772.5
2021-02,Apparel,Men's,Arizona,245,10434,3517.44
2021-02,Apparel,Men's,Arkansas,534,17260,6425.259999999999
2021-02,Apparel,Men's,California,3214,194545,92913.23000000001
2021-02,Apparel,Men's,Connecticut,326,15514,5245.98
2021-02,Apparel,Men's,Delaware,290,14175,4574.25
2021-02,Apparel,Men's,Florida,322,16848,3853.12
2021-02,Apparel,Men's,Georgia,286,12006,4555.53
2021-02,Apparel,Men's,Hawaii,188,9286,1660.8
2021-02,Apparel,Men's,Idaho,408,15458,4273.9
2021-02,Apparel,Men's,Indiana,258,11377,3746.0199999999995
2021-02,Apparel,Men's,Iowa,188,7444,3938.6
2021-02,Apparel,Men's,Kansas,293,10051,3800.73
2021-02,Apparel,Men's,Kentucky,254,12591,4717.889999999999
