Units Sold,Total Sales,Total Operating Profit,Price per Unit,Profit per Unit
536,32049,12003.03,59.792910447761194,22.393712686567167
375,20325,5578.5,54.2,14.876
857,55341,20630.61,64.57526254375729,24.073057176196034
452,24656,6758.66,54.54867256637168,14.952787610619469
290,18655,5187.65,64.32758620689656,17.888448275862068
504,34968,11326.56,69.38095238095238,22.473333333333333
531,31436,11596.2,59.2015065913371,21.838418079096048
318,17354,4879.1,54.57232704402516,15.34308176100629
813,51867,19115.15,63.7970479704797,23.51186961869619
452,24758,6795.38,54.77433628318584,15.034026548672566
260,16720,4738.0,64.3076923076923,18.223076923076924
384,26376,8504.16,68.6875,22.14625
416,24505,9227.400000000001,58.90625,22.181250000000002
256,13800,3842.0,53.90625,15.0078125
656,42509,15968.070000000002,64.80030487804878,24.34157012195122
284,15325,4214.75,53.9612676056338,14.840669014084508
194,14374,3905.8999999999996,74.09278350515464,20.133505154639174
358,28059,9023.6,78.37709497206704,25.205586592178772
352,22495,8473.850000000002,63.90625,24.073437500000008
192,12228,3329.58,63.6875,17.3415625
563,39184,14636.480000000001,69.59857904085257,25.997300177619895
221,14089,3929.3500000000004,63.751131221719454,17.779864253393665
358,26352,7160.7,73.60893854748603,20.00195530726257
476,37474,12139.08,78.72689075630252,25.502268907563025
381,24279,9023.34,63.724409448818896,23.683307086614175
390,25080,6995.4,64.3076923076923,17.936923076923076
548,40239,15170.970000000001,73.42883211678833,27.68425182481752
413,26287,7339.93,63.648910411622275,17.77222760290557
512,32720,12258.4,63.90625,23.9421875
774,57006,21392.820000000003,73.65116279069767,27.6393023255814
449,20452,6748.74,45.55011135857461,15.030601336302896
769,32727,8892.630000000001,42.557867360208064,11.563888166449937
760,31581,13694.58,41.55394736842105,18.019184210526316
511,21310,8061.1,41.702544031311156,15.775146771037182
760,25117,9651.65,33.04868421052632,12.69953947368421
770,32195,12106.769999999999,41.811688311688314,15.72307792207792
245,10434,3517.44,42.587755102040816,14.356897959183673
554,20940,5674.76,37.79783393501805,10.243249097472924
667,28685,12516.32,43.00599700149925,18.76509745127436
356,13162,5041.68,36.97191011235955,14.162022471910113
845,27896,10676.289999999999,33.01301775147929,12.63466272189349
668,28296,10635.21,42.35928143712575,15.920973053892213
195,10148,3260.52,52.04102564102564,16.720615384615385
520,24345,6785.83,46.81730769230769,13.049673076923076
561,26468,11447.52,47.180035650623886,20.405561497326204
361,17030,6363.74,47.174515235457065,17.62808864265928
805,30005,11377.55,37.27329192546584,14.133602484472048
560,26362,10159.73,47.075,18.142374999999998
236,12221,3981.14,51.78389830508475,16.869237288135594
530,34487,9586.48,65.06981132075472,18.087698113207548
480,24600,10450.2,51.25,21.771250000000002
403,19070,7348.0,47.32009925558312,18.233250620347395
805,38240,14218.0,47.50310559006211,17.662111801242236
575,29516,11198.92,51.332173913043476,19.47638260869565
320,16376,5310.72,51.175,16.596
597,39094,10726.3,65.48408710217755,17.967001675041875
604,30790,13237.98,50.97682119205298,21.917185430463576
483,23037,8796.99,47.69565217391305,18.213229813664597
856,40151,15091.69,46.9053738317757,17.630478971962617
652,33412,12576.56,51.24539877300614,19.28920245398773
365,18939,6221.7,51.88767123287671,17.045753424657534
814,53057,14965.79,65.18058968058968,18.3854914004914
756,38311,16271.92,50.675925925925924,21.523703703703703
550,25860,9906.0,47.018181818181816,18.01090909090909
975,45916,17406.04,47.093333333333334,17.85234871794872
760,39190,14601.11,51.56578947368421,19.211986842105265
698,35831,12020.58,51.33381088825215,17.221461318051574
693,44661,12570.08,64.44588744588745,18.138643578643578
830,42495,18170.2,51.19879518072289,21.891807228915663
589,27666,10289.94,46.97113752122241,17.47018675721562
1087,51994,19715.260000000002,47.832566697332105,18.137313707451703
765,39031,14719.73,51.02091503267974,19.241477124183007
652,38964,12870.44,59.760736196319016,19.739938650306748
600,38648,10767.14,64.41333333333333,17.94523333333333
926,52417,22059.3,56.60583153347732,23.822138228941682
632,32984,12720.96,52.18987341772152,20.128101265822785
982,50479,19287.85,51.40427698574338,19.64139511201629
716,36513,13973.49,50.995810055865924,19.516047486033518
608,31543,10414.14,51.879934210526315,17.128519736842104
676,37840,10657.0,55.976331360946745,15.764792899408285
937,42829,18551.83,45.70864461045891,19.799178228388477
612,25600,9597.8,41.830065359477125,15.68267973856209
926,39162,15116.08,42.29157667386609,16.324060475161986
698,29559,10994.65,42.34813753581662,15.751647564469913
432,22654,7432.9400000000005,52.43981481481482,17.20587962962963
517,29289,8142.21,56.65183752417795,15.748955512572534
820,37590,16037.45,45.84146341463415,19.557865853658537
492,20634,7894.26,41.9390243902439,16.045243902439026
805,34155,13102.199999999999,42.42857142857143,16.276024844720496
527,22070,8313.84,41.878557874762805,15.775787476280835
486,25467,8408.67,52.401234567901234,17.30179012345679
676,37065,10162.65,54.82988165680474,15.033505917159763
835,39206,16927.420000000002,46.953293413173654,20.27235928143713
564,23694,9054.78,42.01063829787234,16.054574468085107
785,32820,12306.899999999998,41.80891719745223,15.677579617834391
604,25587,9627.33,42.36258278145695,15.939288079470199
547,28404,9299.2,51.92687385740402,17.00036563071298
720,40635,11272.5,56.4375,15.65625
1013,46854,20363.84,46.25271470878578,20.102507403751233
668,28281,10650.11,42.33682634730539,15.943278443113773
1000,42879,16223.189999999999,42.879,16.22319
684,29174,11184.07,42.65204678362573,16.35097953216374
446,14358,5546.88,32.19282511210762,12.43695067264574
600,13930,5962.36,23.216666666666665,9.937266666666666
608,14332,5355.66,23.57236842105263,8.808651315789474
364,6632,2857.16,18.21978021978022,7.849340659340659
920,21409,9296.460000000001,23.270652173913042,10.104847826086958
604,8405,3621.8,13.915562913907285,5.99635761589404
534,17260,6425.259999999999,32.32209737827716,12.032322097378277
685,13005,5554.3,18.985401459854014,8.108467153284671
438,10126,3802.94,23.118721461187214,8.682511415525115
398,7430,3179.9,18.668341708542712,7.989698492462312
1000,23389,9990.64,23.389,9.990639999999999
514,7416,3185.2200000000003,14.428015564202335,6.196926070038911
403,12942,4864.1,32.11414392059553,12.069727047146403
564,13438,5778.88,23.826241134751772,10.246241134751774
530,9958,3711.2599999999998,18.788679245283017,7.002377358490565
330,6189,2685.9,18.754545454545454,8.139090909090909
1032,19248,8339.04,18.651162790697676,8.08046511627907
550,5276,2278.4,9.592727272727272,4.142545454545455
398,15026,5656.73,37.753768844221106,14.21288944723618
636,18128,7723.68,28.50314465408805,12.144150943396227
483,11484,4393.5599999999995,23.77639751552795,9.096397515527949
365,6760,2937.8700000000003,18.52054794520548,8.04895890410959
978,22878,9905.28,23.392638036809817,10.128098159509204
471,6606,2842.32,14.02547770700637,6.034649681528663
521,21746,8181.579999999999,41.73896353166987,15.703608445297503
681,28793,12584.75,42.28046989720998,18.479809104258443
604,22542,8761.16,37.32119205298013,14.50523178807947
468,15312,6620.76,32.717948717948715,14.146923076923077
1079,39787,17258.74,36.87395736793327,15.995125115848008
560,18557,8015.42,33.1375,14.31325
589,30208,11432.439999999999,51.28692699490662,19.409915110356533
875,49560,21271.2,56.64,24.309942857142858
680,21992,8321.08,32.34117647058824,12.236882352941176
597,22222,9467.76,37.222780569514235,15.85889447236181
1114,40916,17361.52,36.72890484739677,15.584847396768403
628,23424,10096.48,37.29936305732484,16.0771974522293
693,38005,14516.05,54.84126984126984,20.946681096681097
948,58350,25257.0,61.550632911392405,26.64240506329114
835,39027,14467.71,46.73892215568862,17.326598802395207
636,26956,11574.24,42.38364779874214,18.198490566037737
1279,64843,27313.58,50.69820172009382,21.355418295543394
716,30148,12834.38,42.10614525139665,17.925111731843575
601,28694,10892.66,47.74376039933444,18.12422628951747
886,45120,19446.4,50.925507900677204,21.948532731376975
840,43321,16424.19,51.57261904761905,19.55260714285714
636,23884,10150.6,37.55345911949686,15.960062893081762
1193,66569,28745.55,55.799664710813076,24.095180217937973
711,33822,14455.44,47.56962025316456,20.33113924050633
530,12285,4703.97,23.17924528301887,8.875415094339623
684,19281,8257.14,28.18859649122807,12.071842105263157
711,26424,10097.82,37.164556962025316,14.202278481012657
517,7355,3114.8,14.226305609284333,6.0247582205029016
1053,48971,20868.77,46.50617283950617,19.818395061728395
561,7835,3376.55,13.966131907308379,6.018805704099822
449,12402,4647.84,27.621380846325167,10.351536748329622
636,17656,7586.48,27.761006289308177,11.928427672955975
663,12362,4620.5,18.64555052790347,6.969079939668175
441,8278,3559.54,18.77097505668934,8.071519274376417
930,25830,10926.0,27.774193548387096,11.748387096774193
477,9066,3869.64,19.0062893081761,8.11245283018868
546,38409,14549.43,70.34615384615384,26.64730769230769
702,49446,21246.48,70.43589743589743,30.265641025641024
585,8217,3162.6699999999996,14.046153846153846,5.4062735042735035
612,31432,13338.619999999999,51.35947712418301,21.795130718954248
869,20350,8673.28,23.417721518987342,9.980759493670886
512,12008,5089.04,23.453125,9.93953125
644,41768,15952.32,64.85714285714286,24.770683229813663
820,57350,24562.5,69.9390243902439,29.954268292682926
795,44690,16905.2,56.21383647798742,21.264402515723273
644,35800,15370.0,55.590062111801245,23.866459627329192
1141,75691,33101.95,66.33742331288343,29.011349693251532
725,40337,17361.28,55.637241379310346,23.946593103448276
1714,87840,46505.49,51.24854142357059,27.132724620770126
2333,108857,19546.99,46.659665666523786,8.378478354050579
2280,116303,26107.97,51.01008771929825,11.45086403508772
915,43210,14105.4,47.224043715846996,15.415737704918032
2689,112905,42839.520000000004,41.98772777984381,15.931394570472296
2281,118769,45537.21000000001,52.06882946076282,19.963704515563354
1650,100679,53645.76,61.017575757575756,32.51258181818182
2303,149191,26603.22,64.78115501519757,11.551550151975684
1094,67477,15304.800000000001,61.679159049360145,13.989762340036565
1979,112560,36753.479999999996,56.87721071248105,18.571743304699343
2796,156100,62378.36,55.82975679542203,22.30985693848355
1189,72249,27770.510000000002,60.764507989907486,23.356190075693863
5429,340637,182347.01,62.74396758150672,33.58758703260269
6227,451161,86680.14,72.45238477597559,13.920048177292436
8236,495112,112106.45,60.115590092277806,13.611759349198639
5752,322563,108747.60999999999,56.078407510431155,18.906051808066756
7632,417741,153960.22,54.735455974842765,20.172984800838574
6338,372581,144964.91,58.785263490059954,22.87234301041338
3214,194545,92913.23000000001,60.53049159925327,28.908907902924707
3617,236508,30375.34,65.38789051700304,8.397937517279514
4117,217246,43489.46,52.768034976924945,10.56338596065096
3461,177603,50107.939999999995,51.31551574689396,14.477879225657324
4118,190326,65977.27,46.21806702282662,16.021677999028654
3538,182680,59155.32000000001,51.63369135104579,16.719988694177502
2162,101717,58555.04000000001,47.047641073080484,27.083737280296027
2126,88174,19759.28,41.47412982126058,9.294111006585135
2133,89538,25074.99,41.9774964838256,11.755738396624473
2628,110659,41951.71,42.10768645357687,15.9633599695586
2495,81868,35089.54,32.8128256513026,14.063943887775551
3213,135872,57827.98,42.28820417055711,17.998126361655775
3317,155724,89922.82,46.947241483268016,27.10968344889961
5382,308365,69668.1,57.29561501300632,12.94464882943144
4494,208691,57614.68,46.43769470404985,12.820356030262573
3808,159168,60333.46,41.79831932773109,15.843870798319328
5476,230346,99074.2,42.06464572680789,18.092439737034333
4428,206293,88948.03,46.5883017163505,20.08763098464318
5057,283835,164790.94,56.127150484476964,32.58669962428317
5460,330228,75786.54,60.48131868131868,13.88031868131868
6727,347244,96714.21,51.61944403151479,14.37701947376245
5282,245796,93501.92,46.534645967436575,17.701991669822036
7604,355427,152599.93,46.74210941609679,20.068375854813254
5495,256465,109414.3,46.672429481346676,19.911610555050046
443,18353,6940.08,41.42889390519187,15.666094808126411
200,7365,3163.38,36.825,15.8169
452,14537,5496.91,32.16150442477876,12.161305309734512
728,35099,18388.62,48.21291208791209,25.259093406593404
1119,44028,7640.200000000001,39.34584450402145,6.8277033065236825
1048,46593,10493.04,44.458969465648856,10.012442748091605
737,34681,11389.8,47.05698778833107,15.45427408412483
1371,47392,17840.660000000003,34.567469000729396,13.012881108679798
1064,49589,18885.49,46.6062030075188,17.74952067669173
2150,150393,94520.87000000001,69.95023255813953,43.96319534883721
2944,228546,63444.05,77.63111413043478,21.55028872282609
3295,223985,74070.24,67.97723823975721,22.479587253414266
2531,161869,70181.26,63.954563413670485,27.72866851047017
4124,257517,123386.61,62.443501454898154,29.919158583899126
3115,207518,99297.47,66.61894060995185,31.877197431781703
1915,138140,79686.20000000003,72.13577023498695,41.61159268929505
2778,209130,48356.05,75.28077753779698,17.406785457163426
3633,225486,61914.86,62.066061106523534,17.042350674373797
2429,146437,53687.119999999995,60.28694936187732,22.102560724578012
3619,203534,84204.2,56.240397899972365,23.26725614810721
2778,159095,63124.34,57.26961843052556,22.722944564434844
202,8573,2806.86,42.44059405940594,13.895346534653466
360,11826,5152.5,32.85,14.3125
367,12229,4604.95,33.321525885558586,12.547547683923705
119,3406,1472.3600000000001,28.6218487394958,12.372773109243699
689,22212,8444.19,32.238026124818575,12.255718432510886
360,8505,3656.16,23.625,10.155999999999999
326,15514,5245.98,47.58895705521472,16.091963190184046
480,18348,6872.28,38.225,14.31725
202,6583,2490.29,32.58910891089109,12.328168316831682
198,6399,2100.1,32.31818181818182,10.606565656565657
756,24559,9356.49,32.485449735449734,12.376309523809523
277,6505,2748.2200000000003,23.48375451263538,9.921371841155235
242,11439,3701.58,47.268595041322314,15.295785123966942
408,15239,5820.61,37.35049019607843,14.266200980392156
349,13304,5728.32,38.12034383954155,16.413524355300858
164,5378,1746.96,32.792682926829265,10.65219512195122
832,30602,12889.76,36.78125,15.4925
393,11197,3689.3999999999996,28.491094147582697,9.387786259541985
200,9340,3102.7,46.7,15.513499999999999
438,15928,6118.48,36.36529680365297,13.969132420091324
322,12124,5257.0,37.65217391304348,16.32608695652174
204,6657,2200.8199999999997,32.63235294117647,10.788333333333332
805,29740,12696.4,36.94409937888199,15.771925465838509
320,8904,2959.12,27.825,9.24725
403,20320,6739.549999999999,50.421836228287845,16.723449131513647
616,33963,13124.509999999998,55.13474025974026,21.306022727272726
406,18909,8135.32,46.573891625615765,20.037733990147782
362,15265,4955.46,42.168508287292816,13.689116022099448
878,45282,19261.88,51.57403189066059,21.93835990888383
432,18213,5888.34,42.15972222222222,13.630416666666667
440,22322,7311.2,50.731818181818184,16.616363636363637
676,37380,14247.0,55.29585798816568,21.075443786982248
593,27974,11970.64,47.173693086003375,20.186576728499155
440,18710,6164.95,42.52272727272727,14.01125
1006,51364,22434.9,51.05765407554672,22.301093439363818
483,20514,6803.099999999999,42.47204968944099,14.085093167701862
474,24791,8158.29,52.30168776371308,17.211582278481014
770,42588,16129.24,55.30909090909091,20.947064935064933
632,29936,12764.48,47.36708860759494,20.196962025316456
449,18931,6341.46,42.16258351893096,14.123518930957683
1034,54145,23496.34,52.364603481624755,22.723733075435202
517,21408,7050.12,41.40812379110251,13.63659574468085
314,16317,5346.36,51.96496815286624,17.026624203821655
604,33731,12835.779999999999,55.84602649006622,21.251291390728476
636,29536,12722.560000000001,46.44025157232704,20.004025157232707
365,15217,4940.9,41.69041095890411,13.536712328767122
982,50447,21580.95,51.371690427698574,21.97652749490835
517,21962,7199.4,42.479690522243715,13.925338491295937
284,14552,4814.28,51.23943661971831,16.95169014084507
441,24717,9539.88,56.04761904761905,21.632380952380952
468,22245,9581.4,47.532051282051285,20.473076923076924
279,11501,3802.7999999999997,41.22222222222222,13.63010752688172
795,41309,17945.300000000003,51.96100628930817,22.572704402515726
324,13572,4458.24,41.888888888888886,13.76
237,14688,4796.46,61.9746835443038,20.238227848101268
443,28236,10884.58,63.738148984198645,24.570158013544017
441,22535,9535.04,51.099773242630384,21.621405895691613
233,12085,3931.6,51.86695278969957,16.87381974248927
716,40705,17422.81,56.850558659217874,24.333533519553075
285,14418,4816.73,50.589473684210525,16.90080701754386
406,24202,8064.12,59.610837438423644,19.862364532019704
561,36897,13919.029999999999,65.77005347593582,24.81110516934046
489,24669,10614.78,50.4478527607362,21.70711656441718
438,22362,7415.1900000000005,51.054794520547944,16.929657534246576
685,41884,17647.57,61.144525547445255,25.76287591240876
478,24013,8075.46,50.23640167364017,16.894267782426777
477,28338,9411.3,59.40880503144654,19.73018867924528
632,41744,15560.64,66.0506329113924,24.62126582278481
607,30623,13058.16,50.4497528830313,21.512619439868203
483,24759,8163.42,51.26086956521739,16.901490683229813
898,54010,22733.2,60.14476614699332,25.315367483296214
554,28638,9401.039999999999,51.69314079422383,16.969386281588445
222,9802,3133.3,44.153153153153156,14.113963963963965
344,11902,5102.35,34.598837209302324,14.832412790697676
352,12166,4563.02,34.5625,12.963125000000002
163,4776,2013.0,29.300613496932517,12.349693251533742
613,21041,8026.75,34.32463295269168,13.0942088091354
347,8603,3631.2799999999997,24.792507204610953,10.464783861671469
290,14175,4574.25,48.87931034482759,15.773275862068965
423,16822,7225.66,39.76832151300236,17.081938534278958
228,7821,2991.75,34.30263157894737,13.12171052631579
195,6735,2916.75,34.53846153846154,14.957692307692307
672,23373,8830.29,34.78125,13.140312500000002
288,7137,3021.12,24.78125,10.49
224,11004,3549.14,49.125,15.844375
347,13808,5804.0,39.79250720461095,16.72622478386167
318,12652,4693.4,39.78616352201258,14.759119496855345
156,5367,2275.76,34.40384615384615,14.58820512820513
703,27488,10246.48,39.10099573257468,14.575362731152204
344,10251,4380.54,29.799418604651162,12.734127906976743
195,9615,3201.75,49.30769230769231,16.41923076923077
378,14964,6400.56,39.58730158730159,16.932698412698414
286,11318,4239.46,39.57342657342657,14.823286713286713
194,6658,2818.08,34.31958762886598,14.526185567010309
656,25716,9708.0,39.201219512195124,14.798780487804878
284,8343,3576.15,29.37676056338028,12.592077464788733
349,18824,6091.2,53.93696275071633,17.45329512893983
504,29616,12688.8,58.76190476190476,25.176190476190474
344,16993,6271.85,49.39825581395349,18.232122093023257
315,13915,5885.8,44.17460317460318,18.685079365079364
730,39509,14888.949999999999,54.12191780821918,20.395821917808217
381,16821,7126.92,44.1496062992126,18.705826771653545
375,20249,6449.7,53.99733333333333,17.1992
585,34560,14806.8,59.07692307692308,25.31076923076923
520,25760,9592.0,49.53846153846154,18.446153846153845
375,16575,7091.25,44.2,18.91
839,45388,16946.09,54.097735399284865,20.197961859356376
410,18280,7787.15,44.58536585365854,18.993048780487804
419,22668,7327.74,54.10023866348449,17.488639618138425
645,37975,15987.5,58.87596899224806,24.786821705426355
544,26843,9954.349999999999,49.34375,18.2984375
390,17370,7451.1,44.53846153846154,19.105384615384615
857,46770,17816.4,54.574095682613766,20.78926487747958
452,19932,8558.28,44.097345132743364,18.93424778761062
288,15524,5129.7,53.90277777777778,17.811458333333334
520,31080,13281.6,59.76923076923077,25.54153846153846
553,27266,10204.859999999999,49.30560578661844,18.453634719710667
313,13833,5791.5,44.194888178913736,18.503194888178914
813,43899,16505.65,53.996309963099634,20.302152521525215
455,20160,8505.0,44.30769230769231,18.692307692307693
260,13999,4619.7,53.84230769230769,17.768076923076922
384,22872,9830.880000000001,59.5625,25.601250000000004
410,20245,7485.25,49.3780487804878,18.25670731707317
260,11460,4854.6,44.07692307692308,18.671538461538464
667,35974,13584.9,53.934032983508246,20.367166416791605
286,12748,5387.73,44.57342657342657,18.838216783216783
224,14413,4627.7,64.34375,20.659375
378,25914,11102.7,68.55555555555556,29.372222222222224
390,21090,7886.4,54.07692307692308,20.22153846153846
219,11913,4994.0,54.397260273972606,22.80365296803653
603,35668,13200.599999999999,59.15091210613598,21.89154228855721
252,13600,5830.0,53.96825396825397,23.134920634920636
347,22195,7090.5,63.96253602305475,20.43371757925072
473,32522,13949.6,68.7568710359408,29.491754756871035
410,22380,8328.55,54.58536585365854,20.313536585365853
384,20784,8870.52,54.125,23.1003125
585,37350,14044.5,63.84615384615385,24.00769230769231
406,22072,9320.720000000001,54.364532019704434,22.957438423645325
416,26676,8557.9,64.125,20.571875
548,37745,15897.5,68.87773722627738,29.010036496350367
500,27000,10100.0,54.0,20.2
423,23069,9954.76,54.536643026004725,23.53371158392435
768,49416,18545.52,64.34375,24.1478125
484,26075,11193.0,53.87396694214876,23.126033057851238
1792,102185,38148.11,57.022879464285715,21.288007812500002
2081,114649,60461.78,55.0932244113407,29.05419509851033
2935,150835,57212.509999999995,51.39182282793867,19.493189097103915
1714,76757,25219.15,44.78238039673279,14.713623103850642
4016,211777,100646.41,52.73331673306773,25.061357071713147
1866,78207,21586.47,41.91157556270097,11.56831189710611
977,62495,23570.05,63.966223132036845,24.12492323439099
1094,75266,39455.08,68.79890310786107,36.06497257769653
1129,61079,22932.13,54.100088573959255,20.31189548272808
984,53911,17640.48,54.78760162601626,17.92731707317073
1398,90224,42839.19,64.5379113018598,30.643197424892705
1073,58271,16115.27,54.30661696178937,15.018890959925443
2770,150575,56726.829999999994,54.35920577617328,20.479
3168,140013,73903.89,44.19602272727273,23.328248106060606
1920,85335,32269.65,44.4453125,16.807109375
1644,64722,20945.68,39.36861313868613,12.740681265206813
2757,122355,58353.99,44.379760609357994,21.16575625680087
2032,69749,19130.05,34.32529527559055,9.414394685039369
3926,232834,88035.66,59.305654610290375,22.42375445746307
4654,298498,157455.68,64.13794585302965,33.83233347657929
4422,240270,89074.75,54.335142469470824,20.143543645409316
3943,190495,61945.57,48.312198833375604,15.710263758559472
5482,331977,158042.65,60.5576431959139,28.829377964246625
4079,206910,56612.86,50.72566805589605,13.87910272125521
1834,114003,43389.0,62.160850599781895,23.65812431842966
2111,139914,73293.75,66.27854097584084,34.71991946944576
1339,61871,22751.48,46.20687079910381,16.991396564600446
1985,95592,31473.02,48.15717884130982,15.855425692695214
1800,92237,41707.97,51.242777777777775,23.171094444444446
2210,101107,28448.75,45.74977375565611,12.872737556561086
908,45613,17222.93,50.23458149779736,18.9679845814978
1047,44729,23912.85,42.72110792741165,22.839398280802293
1060,45522,17328.42,42.945283018867926,16.34756603773585
815,30465,10086.65,37.38036809815951,12.376257668711656
1377,56865,27124.350000000002,41.2962962962963,19.69814814814815
1021,33410,9265.619999999999,32.7228207639569,9.075044074436825
322,16848,3853.12,52.32298136645963,11.966211180124223
632,29168,14031.0,46.151898734177216,22.200949367088608
853,35661,13599.69,41.80656506447831,15.943364595545136
443,20464,6842.28,46.1941309255079,15.44532731376975
1422,61164,28760.760000000002,43.0126582278481,20.225569620253165
978,31434,8875.98,32.14110429447853,9.07564417177914
279,16699,3847.12,59.85304659498208,13.788960573476702
607,34242,16352.76,56.41186161449753,26.94029654036244
624,35256,9895.36,56.5,15.85794871794872
530,29566,9742.56,55.78490566037736,18.38218867924528
881,40845,13302.5,46.36208853575482,15.099318955732123
689,41412,13445.71,60.1044992743106,19.514818577648764
318,18242,4218.099999999999,57.36477987421384,13.26446540880503
597,42414,20585.55,71.04522613065326,34.481658291457286
553,36323,9834.65,65.68354430379746,17.784177215189874
474,24558,8207.1,51.81012658227848,17.314556962025318
859,52343,17211.84,60.934807916181605,20.037066356228173
652,42388,13846.32,65.0122699386503,21.23668711656442
361,18766,4320.32,51.983379501385045,11.96764542936288
921,60145,28738.16,65.30401737242128,31.203213897937026
685,41377,11678.41,60.40437956204379,17.048773722627736
520,28865,9501.38,55.50961538461539,18.271884615384614
931,52334,17134.22,56.21267454350161,18.404103114930184
676,40718,13632.869999999999,60.23372781065089,20.1669674556213
729,64827,14528.34,88.92592592592592,19.929135802469137
1216,123306,58324.68,101.4029605263158,47.964375
1127,73864,20240.079999999998,65.54037267080746,17.959254658385092
926,73746,24461.52,79.63930885529157,26.416328293736502
1320,80827,26560.55,61.23257575757576,20.121628787878787
1148,90580,29786.4,78.90243902439025,25.946341463414637
1053,93249,21015.28,88.55555555555556,19.95753086419753
1008,102588,48432.66,101.77380952380952,48.04827380952381
1238,110512,31181.86,89.26655896607431,25.1872859450727
966,79734,26168.22,82.54037267080746,27.089254658385094
1458,122859,41304.24,84.26543209876543,28.32938271604938
1127,99890,32928.0,88.63354037267081,29.217391304347824
784,59040,13390.34,75.3061224489796,17.07951530612245
483,38307,18384.66,79.31055900621118,38.063478260869566
1303,102307,27489.35,78.51650038372985,21.096968534151955
765,58419,19129.26,76.36470588235294,25.005568627450977
1318,116621,38065.11,88.48330804248862,28.88096358118361
1120,85064,27865.32,75.95,24.87975
443,29062,6485.64,65.60270880361173,14.640270880361175
474,24482,11565.720000000001,51.64978902953587,24.400253164556965
785,47350,13214.5,60.318471337579616,16.83375796178344
393,21942,7314.24,55.83206106870229,18.611297709923665
795,44940,14771.4,56.528301886792455,18.580377358490566
471,25794,8458.02,54.76433121019108,17.957579617834394
564,33984,7541.860000000001,60.255319148936174,13.372092198581562
644,42180,20379.2,65.4968944099379,31.64472049689441
909,54041,14941.529999999999,59.45104510451045,16.437326732673267
608,31188,10230.33,51.296052631578945,16.826200657894738
640,30160,10088.2,47.125,15.7628125
640,35664,11596.96,55.725,18.12025
746,58449,13241.42,78.34986595174263,17.7498927613941
960,81000,39053.880000000005,84.375,40.681125
