Year-Month,Category,Subcategory,State,Region,Year,Month_Number,Price per Unit,Units Sold,Total Sales,Profit per Unit,Operating Margin,Total Operating Profit
2020-02,Athletic Footwear,Women's,New York,Northeast,12120,12,246.0,2722,118500,100.08999999999999,2.44,44878.29
2020-02,Street Footwear,Men's,Nevada,West,30300,30,820.0,5302,304054,368.08000000000004,6.73,128956.90000000001
2020-02,Street Footwear,Men's,New York,Northeast,6060,6,158.0,1903,106422,87.44,1.6600000000000001,55929.6
2020-02,Street Footwear,Women's,Nevada,West,30300,30,839.0,3919,231697,376.47,6.720000000000001,98504.1
2020-02,Street Footwear,Women's,New York,Northeast,12120,12,239.0,2916,122022,98.38,2.4699999999999998,46612.979999999996
2020-03,Apparel,Men's,Colorado,West,12120,18,290.0,728,35099,161.5,3.36,18388.62
2020-03,Apparel,Men's,Nevada,West,18180,27,549.0,1718,110987,303.01000000000005,4.970000000000001,58307.070000000014
2020-03,Apparel,Men's,New York,Northeast,12120,18,324.0,2874,162506,116.63,2.1599999999999997,53602.46
2020-03,Apparel,Women's,Colorado,West,8080,12,154.0,1119,44028,31.610000000000007,0.8300000000000001,7640.200000000001
2020-03,Apparel,Women's,Nevada,West,18180,27,595.0,2179,151928,120.86000000000001,1.84,26981.760000000002
2020-03,Apparel,Women's,New York,Northeast,18180,27,516.0,5050,305412,159.52,2.7800000000000002,85596.22
2020-03,Athletic Footwear,Men's,Colorado,West,8080,12,176.0,1048,46593,45.719500000000004,1.04,10493.04
2020-03,Athletic Footwear,Men's,Nevada,West,18180,27,467.0,2692,149639,122.63000000000001,2.3600000000000003,34789.79
2020-03,Athletic Footwear,Men's,New York,Northeast,18180,27,444.0,4912,253066,157.32,3.19,83018.94
2020-03,Athletic Footwear,Women's,Colorado,West,8080,12,182.0,737,34681,66.62899999999999,1.48,11389.8
2020-03,Athletic Footwear,Women's,Nevada,West,18180,27,420.0,1857,94677,151.42999999999998,3.25,31322.16
2020-03,Athletic Footwear,Women's,New York,Northeast,18180,27,403.0,4361,204718,160.29,3.5799999999999996,76642.4
2020-03,Street Footwear,Men's,Colorado,West,8080,12,134.0,1371,47392,55.220000000000006,1.6600000000000001,17840.660000000003
2020-03,Street Footwear,Men's,Nevada,West,18180,27,407.0,2710,133741,166.25,3.6900000000000004,50835.54000000001
2020-03,Street Footwear,Men's,New York,Northeast,18180,27,484.0,5941,334657,262.97,4.88,174243.17
2020-03,Street Footwear,Women's,Colorado,West,8080,12,184.0,1064,49589,77.239125,1.6900000000000002,18885.49
2020-03,Street Footwear,Women's,Nevada,West,18180,27,430.0,2099,105626,176.11,3.7,40156.57000000001
2020-03,Street Footwear,Women's,New York,Northeast,18180,27,396.0,4512,209860,159.54,3.6399999999999997,79134.02
2020-04,Apparel,Men's,Colorado,West,20200,40,677.0,2150,150393,444.69000000000005,6.570000000000001,94520.87000000001
2020-04,Apparel,Men's,Florida,Southeast,8080,16,225.0,1792,102185,90.91,1.6199999999999999,38148.11
2020-04,Apparel,Men's,New York,Northeast,18180,36,499.0,4316,249771,176.67,3.19,82017.27
2020-04,Apparel,Women's,Colorado,West,20200,40,744.0,2944,228546,222.78957142857143,2.95,63444.05
2020-04,Apparel,Women's,Florida,Southeast,8080,16,218.0,2081,114649,122.36,2.24,60461.78
2020-04,Apparel,Women's,New York,Northeast,18180,36,532.0,4970,308385,164.28,2.7800000000000002,86429.95
2020-04,Athletic Footwear,Men's,Colorado,West,20200,40,658.0,3295,223985,237.21,3.63,74070.24
2020-04,Athletic Footwear,Men's,Florida,Southeast,12120,24,304.0,2935,150835,128.20999999999998,2.54,57212.509999999995
2020-04,Athletic Footwear,Men's,New York,Northeast,12120,24,296.0,3180,164124,106.38,2.16,54208.47
2020-04,Athletic Footwear,Women's,Colorado,West,20200,40,620.0,2531,161869,289.49,4.68,70181.26
2020-04,Athletic Footwear,Women's,Florida,Southeast,8080,16,177.0,1714,76757,65.17,1.48,25219.15
2020-04,Athletic Footwear,Women's,New York,Northeast,12120,24,277.0,2880,140418,111.3,2.4099999999999997,52850.7
2020-04,Street Footwear,Men's,Colorado,West,20200,40,606.0,4124,257517,311.28000000000003,5.16,123386.61
2020-04,Street Footwear,Men's,Florida,Southeast,12120,24,309.0,4016,211777,157.93,3.08,100646.41
2020-04,Street Footwear,Men's,New York,Northeast,12120,24,326.0,3820,219300,180.43,3.33,115771.08
2020-04,Street Footwear,Women's,Colorado,West,20200,40,653.0,3115,207518,332.65,5.11,99297.47
2020-04,Street Footwear,Women's,Florida,Southeast,8080,16,164.0,1866,78207,51.44,1.27,21586.47
2020-04,Street Footwear,Women's,New York,Northeast,12120,24,283.0,2980,146844,115.89999999999999,2.46,55989.54
2020-05,Apparel,Men's,Colorado,West,16160,40,564.0,1915,138140,345.2800000000001,4.910000000000001,79686.20000000003
2020-05,Apparel,Men's,Florida,Southeast,4040,10,125.0,977,62495,52.150000000000006,0.84,23570.05
2020-05,Apparel,Men's,New York,Northeast,12120,30,349.0,2849,173843,126.36,2.1799999999999997,57866.46
2020-05,Apparel,Men's,Washington,West,4040,10,106.0,323,17473,33.64,0.64,4889.47
2020-05,Apparel,Women's,Colorado,West,20200,50,732.0,2778,209130,192.93,2.65,48356.05
2020-05,Apparel,Women's,Florida,Southeast,4040,10,134.0,1094,75266,75.32,1.13,39455.08
2020-05,Apparel,Women's,New York,Northeast,6060,15,189.0,1560,102674,56.760000000000005,0.9,28263.440000000002
2020-05,Apparel,Women's,Washington,West,4040,10,96.0,625,30750,24.259999999999998,0.51,6782.5
2020-05,Athletic Footwear,Men's,Colorado,West,20200,50,600.0,3633,225486,185.11,3.11,61914.86
2020-05,Athletic Footwear,Men's,Florida,Southeast,4040,10,106.0,1129,61079,43.22,0.82,22932.13
2020-05,Athletic Footwear,Men's,New York,Northeast,6060,15,149.0,1610,83630,52.97,1.0699999999999998,27591.5
2020-05,Athletic Footwear,Women's,Colorado,West,20200,50,584.0,2429,146437,232.44,3.9799999999999995,53687.119999999995
2020-05,Athletic Footwear,Women's,Florida,Southeast,4040,10,109.0,984,53911,39.72,0.73,17640.48
2020-05,Athletic Footwear,Women's,New York,Northeast,6060,15,150.0,1431,74196,60.489999999999995,1.21,27932.4
2020-05,Street Footwear,Men's,Colorado,West,20200,50,537.0,3619,203534,238.81,4.41,84204.2
2020-05,Street Footwear,Men's,Florida,Southeast,4040,10,128.0,1398,90224,64.53,1.01,42839.19
2020-05,Street Footwear,Men's,New York,Northeast,6060,15,175.0,1932,117504,99.06,1.7000000000000002,62669.76
2020-05,Street Footwear,Women's,Colorado,West,20200,50,558.0,2778,159095,240.13,4.28,63124.34
2020-05,Street Footwear,Women's,Florida,Southeast,4040,10,107.0,1073,58271,32.989999999999995,0.62,16115.27
2020-05,Street Footwear,Women's,New York,Northeast,6060,15,151.0,1568,81626,61.42999999999999,1.22,31115.199999999997
2020-06,Apparel,Men's,Washington,West,20200,60,662.0,1499,104088,210.4,3.2,29048.22
2020-06,Apparel,Women's,Washington,West,20200,60,734.0,2948,227367,193.36946666666665,2.64,51546.65
2020-06,Athletic Footwear,Men's,Washington,West,20200,60,640.0,2880,189717,199.58,3.14,52411.49
2020-06,Athletic Footwear,Women's,Washington,West,20200,60,616.0,2202,141375,220.59907692307692,3.6,45841.32
2020-06,Street Footwear,Men's,Washington,West,20200,60,571.0,3800,224950,206.97,3.65,73465.99
2020-06,Street Footwear,Women's,Washington,West,20200,60,649.0,2940,196694,205.4794117647059,3.19,54731.74
2020-07,Apparel,Men's,Texas,South,12120,42,208.0,1665,61350,74.66,2.15,20155.66
2020-07,Apparel,Men's,Washington,West,20200,70,774.0,2944,233346,241.59,3.14,64299.65
2020-07,Apparel,Women's,New York,Northeast,6060,21,186.0,1630,106040,55.7,0.8999999999999999,29298.0
2020-07,Apparel,Women's,Texas,South,12120,42,189.0,2254,74172,106.48,3.38,39554.9
2020-07,Apparel,Women's,Washington,West,20200,70,807.0,2965,248379,215.16,2.69,56413.98
2020-07,Athletic Footwear,Men's,New York,Northeast,6060,21,95.0,1395,46170,38.53,1.21,17370.9
2020-07,Athletic Footwear,Men's,Texas,South,6060,21,91.0,1394,44812,36.76,1.22,16990.989999999998
2020-07,Athletic Footwear,Men's,Washington,West,20200,70,724.0000000000001,4092,302310,222.78,3.09,83131.78
2020-07,Athletic Footwear,Women's,New York,Northeast,6060,21,96.0,1085,36120,48.49,1.52,17245.9
2020-07,Athletic Footwear,Women's,Texas,South,6060,21,95.0,1013,33363,49.15,1.5499999999999998,16182.75
2020-07,Athletic Footwear,Women's,Washington,West,20200,70,701.0,2919,209042,253.03,3.62,68089.51
2020-07,Street Footwear,Men's,New York,Northeast,6060,21,69.0,1404,33516,27.829999999999995,1.21,12620.519999999999
2020-07,Street Footwear,Men's,Texas,South,12120,42,147.0,2753,70985,60.4,2.48,27050.6
2020-07,Street Footwear,Men's,Washington,West,24240,84,842.0,5211,379720,300.09999999999997,4.3,122918.26
2020-07,Street Footwear,Women's,New York,Northeast,6060,21,95.0,1148,37856,37.959999999999994,1.2,14268.939999999999
2020-07,Street Footwear,Women's,Texas,South,6060,21,94.0,1087,35629,37.72,1.21,13415.67
2020-07,Street Footwear,Women's,Washington,West,20200,70,674.0,3260,229578,203.8,3.05,62469.6
2020-08,Apparel,Men's,Florida,Southeast,12120,48,321.0,2770,150575,132.57,2.4899999999999998,56726.829999999994
2020-08,Apparel,Men's,Texas,South,30300,120,598.0,4732,198576,209.36,5.26,64599.51
2020-08,Apparel,Men's,Washington,West,4040,16,172.0,608,53656,53.66,0.63,14831.779999999999
2020-08,Apparel,Women's,Florida,Southeast,12120,48,259.0,3168,140013,146.45,3.41,73903.89
2020-08,Apparel,Women's,Texas,South,30300,120,591.0,7062,294470,329.61,8.370000000000001,156237.21
2020-08,Apparel,Women's,Washington,West,4040,16,181.0,725,67525,48.239999999999995,0.54,15311.0
2020-08,Athletic Footwear,Men's,Florida,Southeast,8080,32,175.0,1920,85335,72.72999999999999,1.67,32269.65
2020-08,Athletic Footwear,Men's,Texas,South,36360,144,682.0,8749,348550,274.08,7.26,131148.8
2020-08,Athletic Footwear,Men's,Washington,West,8080,32,248.0,2016,126076,86.35,1.47,39470.59
2020-08,Athletic Footwear,Women's,Florida,Southeast,8080,32,154.0,1644,64722,55.12,1.44,20945.68
2020-08,Athletic Footwear,Women's,Texas,South,30300,120,529.0,5463,202740,269.27,7.640000000000001,97371.77
2020-08,Athletic Footwear,Women's,Washington,West,8080,32,234.0,1563,89138,83.88,1.43,28769.84
2020-08,Street Footwear,Men's,Florida,Southeast,8080,32,174.0,2757,122355,89.61,2.0700000000000003,58353.99
2020-08,Street Footwear,Men's,Texas,South,30300,120,480.0,7412,249492,193.93,6.06,94067.79
2020-08,Street Footwear,Men's,Washington,West,4040,16,89.0,1323,59262,44.45,1.0,27869.1
2020-08,Street Footwear,Women's,Florida,Southeast,8080,32,134.0,2032,69749,40.86,1.23,19130.05
2020-08,Street Footwear,Women's,Texas,South,30300,120,484.0,6595,227752,196.42999999999998,6.09,86224.65
2020-08,Street Footwear,Women's,Washington,West,8080,32,222.0,1768,91644,70.48,1.28,25416.16
2020-09,Apparel,Men's,Florida,Southeast,16160,72,465.0,3926,232834,192.67,3.33,88035.66
2020-09,Apparel,Men's,Texas,South,18180,81,368.0,2962,126015,130.85,3.21,41406.36
2020-09,Apparel,Women's,Florida,Southeast,16160,72,501.0,4654,298498,283.31,4.54,157455.68
2020-09,Apparel,Women's,Texas,South,18180,81,433.0,3949,198195,242.98000000000002,5.0600000000000005,105174.68000000001
2020-09,Athletic Footwear,Men's,Florida,Southeast,16160,72,425.00000000000006,4422,240270,169.82,3.21,89074.75
2020-09,Athletic Footwear,Men's,Texas,South,12120,54,235.0,2582,107623,93.72,2.3899999999999997,40194.119999999995
2020-09,Athletic Footwear,Women's,Florida,Southeast,16160,72,381.0,3943,190495,135.75,2.86,61945.57
2020-09,Athletic Footwear,Women's,Texas,South,18180,81,373.0,3032,131693,187.19,4.5200000000000005,62811.21
2020-09,Street Footwear,Men's,Florida,Southeast,16160,72,474.0,5482,331977,243.2,4.12,158042.65
2020-09,Street Footwear,Men's,Texas,South,12120,54,242.0,2681,113174,100.57,2.4899999999999998,43600.619999999995
2020-09,Street Footwear,Women's,Florida,Southeast,16160,72,398.0,4079,206910,121.67999999999999,2.46,56612.86
2020-09,Street Footwear,Women's,Texas,South,18180,81,377.0,4413,190002,152.04,3.63,71554.53
2020-10,Apparel,Men's,Florida,Southeast,8080,40,246.0,1834,114003,104.25,1.7,43389.0
2020-10,Apparel,Men's,Minnesota,Midwest,8080,40,174.0,383,16979,63.15599999999999,1.46,5543.69
2020-10,Apparel,Men's,Texas,South,12120,60,234.0,2067,85878,85.2,2.1799999999999997,28548.0
2020-10,Apparel,Women's,Florida,Southeast,8080,40,258.0,2111,139914,144.25,2.25,73293.75
2020-10,Apparel,Women's,Minnesota,Midwest,8080,40,136.0,605,20915,68.12,2.0100000000000002,9861.55
2020-10,Apparel,Women's,Texas,South,12120,60,299.0,2853,147942,167.11,3.3600000000000003,78660.02
2020-10,Athletic Footwear,Men's,Florida,Southeast,8080,40,167.0,1339,61871,64.72,1.53,22751.48
2020-10,Athletic Footwear,Men's,Minnesota,Midwest,8080,40,147.0,348,12872,53.0,1.45,4188.4
2020-10,Athletic Footwear,Men's,Texas,South,12120,60,242.0,3017,127047,100.37,2.4899999999999998,48826.35
2020-10,Athletic Footwear,Women's,Florida,Southeast,12120,60,253.00000000000003,1985,95592,94.91,2.2800000000000002,31473.02
2020-10,Athletic Footwear,Women's,Minnesota,Midwest,4040,20,57.0,95,2790,23.190000000000005,0.8200000000000001,1041.3000000000002
2020-10,Athletic Footwear,Women's,Texas,South,12120,60,267.0,2200,102888,135.38,3.0500000000000003,49329.22
2020-10,Street Footwear,Men's,Florida,Southeast,8080,40,184.0,1800,92237,86.58000000000001,1.83,41707.97
2020-10,Street Footwear,Men's,Minnesota,Midwest,8080,40,146.0,1196,44144,60.150000000000006,1.6500000000000001,16561.0
2020-10,Street Footwear,Men's,Texas,South,12120,60,240.0,2925,122906,97.97,2.4499999999999997,46502.52
2020-10,Street Footwear,Women's,Florida,Southeast,12120,60,242.00000000000003,2210,101107,78.41,2.0,28448.75
2020-10,Street Footwear,Women's,Minnesota,Midwest,8080,40,109.0,484,13187,40.05,1.47,4354.65
2020-10,Street Footwear,Women's,Texas,South,12120,60,266.0,2715,126295,108.28999999999999,2.44,47861.689999999995
2020-11,Apparel,Men's,California,West,12120,66,291.0,1714,87840,162.09,3.35,46505.49
2020-11,Apparel,Men's,Minnesota,Midwest,20200,110,497.0,706,35472,176.206,3.56,11501.779999999999
2020-11,Apparel,Women's,California,West,12120,66,264.0,2333,108857,54.95,1.2600000000000002,19546.99
2020-11,Apparel,Women's,Minnesota,Midwest,20200,110,489.0,1555,79237,248.60000000000002,5.1000000000000005,37537.0
2020-11,Athletic Footwear,Men's,California,West,12120,66,292.0,2280,116303,72.56,1.49,26107.97
2020-11,Athletic Footwear,Men's,Minnesota,Midwest,20200,110,420.0,1308,56503,150.60999999999999,3.5999999999999996,18380.37
2020-11,Athletic Footwear,Men's,Texas,South,6060,33,132.0,1217,56440,32.78,0.74,12579.18
2020-11,Athletic Footwear,Women's,California,West,6060,33,136.0,915,43210,48.0,1.06,14105.4
2020-11,Athletic Footwear,Women's,Minnesota,Midwest,20200,110,355.0,548,20294,147.67000000000002,4.19,7660.3600000000015
2020-11,Athletic Footwear,Women's,Texas,South,6060,33,133.0,1019,47315,46.8,1.06,15494.4
2020-11,Street Footwear,Men's,California,West,12120,66,240.0,2689,112905,97.85000000000001,2.46,42839.520000000004
2020-11,Street Footwear,Men's,Minnesota,Midwest,20200,110,459.0,2984,139956,188.41000000000003,4.12,52537.600000000006
2020-11,Street Footwear,Men's,Texas,South,6060,33,107.0,1248,46653,42.35,1.1900000000000002,17418.65
2020-11,Street Footwear,Women's,California,West,12120,66,301.0,2281,118769,124.50000000000001,2.49,45537.21000000001
2020-11,Street Footwear,Women's,Minnesota,Midwest,20200,110,357.0,1092,40620,129.31,3.65,13244.81
2020-11,Street Footwear,Women's,Texas,South,6060,33,129.0,1263,57675,52.06000000000001,1.2200000000000002,21810.460000000003
2020-12,Apparel,Men's,California,West,12120,72,349.0,1650,100679,196.27,3.38,53645.76
2020-12,Apparel,Men's,Minnesota,Midwest,20200,120,456.0,823,38772,162.9918857142857,3.5999999999999996,12544.96
2020-12,Apparel,Women's,California,West,12120,72,369.0,2303,149191,75.0,1.2300000000000002,26603.22
2020-12,Apparel,Women's,Minnesota,Midwest,20200,120,506.99999999999994,1563,81020,261.02411363636367,5.16,38667.93
2020-12,Athletic Footwear,Men's,California,West,6060,36,178.0,1094,67477,44.35,0.75,15304.800000000001
2020-12,Athletic Footwear,Men's,Minnesota,Midwest,20200,120,399.0,1788,74137,144.93,3.65,24245.79
2020-12,Athletic Footwear,Women's,California,West,12120,72,328.0,1979,112560,114.75999999999999,2.1,36753.479999999996
2020-12,Athletic Footwear,Women's,Minnesota,Midwest,24240,144,440.0,1316,51520,185.99,5.0600000000000005,20410.43
2020-12,Street Footwear,Men's,California,West,12120,72,316.0,2796,156100,133.88,2.54,62378.36
2020-12,Street Footwear,Men's,Minnesota,Midwest,20200,120,442.0,2670,120444,189.0883298245614,4.3500000000000005,47239.89000000001
2020-12,Street Footwear,Women's,California,West,6060,36,175.0,1189,72249,72.69,1.2400000000000002,27770.510000000002
2020-12,Street Footwear,Women's,Minnesota,Midwest,20200,120,367.0,1374,55045,143.42000000000002,3.87,21736.9
2021-01,Apparel,Men's,Alaska,West,4042,2,96.0,221,10866,21.299999999999997,0.44999999999999996,1947.3
2021-01,Apparel,Men's,Arizona,West,6063,3,128.0,449,20452,45.66,1.08,6748.74
2021-01,Apparel,Men's,Arkansas,South,6063,3,91.0,446,14358,38.18,1.26,5546.88
2021-01,Apparel,Men's,California,West,30315,15,892.0,5429,340637,504.54,8.49,182347.01
2021-01,Apparel,Men's,Connecticut,Northeast,6063,3,123.0,202,8573,43.34,1.06,2806.86
2021-01,Apparel,Men's,Delaware,Northeast,4042,2,86.0,222,9802,29.900000000000002,0.7,3133.3
2021-01,Apparel,Men's,Florida,Southeast,6063,3,142.0,908,45613,56.959999999999994,1.21,17222.93
2021-01,Apparel,Men's,Georgia,Southeast,6063,3,132.0,1161,53778,53.239999999999995,1.21,20234.059999999998
2021-01,Apparel,Men's,Hawaii,West,4042,2,109.0,293,16047,27.200000000000003,0.5,3576.6000000000004
2021-01,Apparel,Men's,Idaho,West,6063,3,122.0,356,15151,44.3,1.0899999999999999,5037.4
2021-01,Apparel,Men's,Indiana,Midwest,4042,2,86.0,254,11213,38.908,0.91,4728.740000000001
2021-01,Apparel,Men's,Iowa,Midwest,4042,2,78.0,195,7710,43.56,1.12,4060.2
2021-01,Apparel,Men's,Kansas,Midwest,4042,2,98.0,219,10861,40.05799999999999,0.82,4054.7899999999995
2021-01,Apparel,Men's,Kentucky,Southeast,4042,2,78.0,540,21370,32.239999999999995,0.83,8047.6
2021-01,Apparel,Men's,Louisiana,South,6063,3,104.0,521,19168,31.16,0.9,5252.4400000000005
2021-01,Apparel,Men's,Maryland,Northeast,4042,2,99.0,284,14141,35.58,0.72,4589.22
2021-01,Apparel,Men's,Massachusetts,Northeast,6063,3,144.0,363,18501,58.86,1.23,7055.07
2021-01,Apparel,Men's,Michigan,Midwest,4042,2,79.0,423,16822,33.11,0.84,6422.78
2021-01,Apparel,Men's,Mississippi,South,6063,3,95.0,568,18678,38.45,1.21,7053.139999999999
2021-01,Apparel,Men's,Missouri,Midwest,4042,2,68.0,473,16359,27.759999999999998,0.82,6113.73
2021-01,Apparel,Men's,Montana,Midwest,24252,12,554.0,1813,84996,368.13000000000005,8.000000000000002,53322.69000000001
2021-01,Apparel,Men's,New Hampshire,Northeast,6063,3,175.0,318,19440,52.45,0.9,5344.8
2021-01,Apparel,Men's,New Jersey,Northeast,4042,2,99.0,260,12940,35.089999999999996,0.71,4205.4
2021-01,Apparel,Men's,New Mexico,West,6063,3,121.00000000000001,388,16458,48.2,1.2,6149.849999999999
2021-01,Apparel,Men's,New York,Northeast,4042,2,99.0,645,32105,37.05,0.75,10697.25
2021-01,Apparel,Men's,North Carolina,Southeast,4042,2,89.0,603,27007,37.75,0.85,10297.25
2021-01,Apparel,Men's,North Dakota,Midwest,4042,2,78.0,192,7596,43.94,1.13,4005.48
2021-01,Apparel,Men's,Ohio,Midwest,4042,2,96.0,252,12391,39.11825,0.82,4623.889999999999
2021-01,Apparel,Men's,Oklahoma,South,6063,3,96.0,403,13359,39.56999999999999,1.24,5102.34
2021-01,Apparel,Men's,Oregon,West,6063,3,129.0,326,14912,66.47,1.55,7218.56
2021-01,Apparel,Men's,Rhode Island,Northeast,6063,3,137.0,238,11301,43.7,0.96,3229.08
2021-01,Apparel,Men's,South Carolina,Southeast,4042,2,87.0,781,34677,35.06999999999999,0.8099999999999999,12857.67
2021-01,Apparel,Men's,South Dakota,Midwest,4042,2,88.0,224,9981,36.818,0.84,3788.33
2021-01,Apparel,Men's,Utah,West,6063,3,122.0,247,10453,57.2,1.4100000000000001,4569.7
2021-01,Apparel,Men's,Vermont,Northeast,6063,3,162.0,355,19986,58.15,1.0699999999999998,6553.82
2021-01,Apparel,Men's,Virginia,Southeast,6063,3,118.0,712,29696,53.85999999999999,1.3699999999999999,12717.919999999998
2021-01,Apparel,Men's,West Virginia,Northeast,4042,2,87.0,158,7011,31.560000000000002,0.73,2283.48
2021-01,Apparel,Men's,Wisconsin,Midwest,4042,2,86.0,258,11377,31.5385,0.74,3746.0199999999995
2021-01,Apparel,Men's,Wyoming,West,4042,2,87.0,195,8640,39.42,0.91,3663.9
2021-01,Apparel,Women's,Alaska,West,8084,4,194.0,932,45159,78.5,1.65,17180.52
2021-01,Apparel,Women's,Arizona,West,6063,3,123.0,769,32727,36.09,0.88,8892.630000000001
2021-01,Apparel,Women's,Arkansas,South,6063,3,66.0,600,13930,30.060000000000002,1.37,5962.36
2021-01,Apparel,Women's,California,West,30315,15,1032.0,6227,451161,227.87,3.31,86680.14
2021-01,Apparel,Women's,Connecticut,Northeast,6063,3,94.0,360,11826,44.04,1.4100000000000001,5152.5
2021-01,Apparel,Women's,Delaware,Northeast,4042,2,68.0,344,11902,32.150000000000006,0.9500000000000001,5102.35
2021-01,Apparel,Women's,Florida,Southeast,6063,3,124.0,1047,44729,70.35,1.7000000000000002,23912.85
2021-01,Apparel,Women's,Georgia,Southeast,6063,3,107.0,1345,50273,58.1,1.63,26273.7
2021-01,Apparel,Women's,Hawaii,West,4042,2,99.0,599,29826,51.410000000000004,1.04,14272.34
2021-01,Apparel,Women's,Idaho,West,6063,3,103.0,676,24776,29.89,0.87,6669.2
2021-01,Apparel,Women's,Indiana,Midwest,4042,2,69.0,375,13050,31.0,0.9,5475.0
2021-01,Apparel,Women's,Iowa,Midwest,4042,2,58.0,323,9544,27.4,0.9500000000000001,4124.2
2021-01,Apparel,Women's,Kansas,Midwest,4042,2,77.0,347,13664,36.35,0.9500000000000001,5865.2
2021-01,Apparel,Women's,Kentucky,Southeast,4042,2,59.0,683,20332,32.980000000000004,1.12,10715.84
2021-01,Apparel,Women's,Louisiana,South,6063,3,92.0,765,24868,47.65,1.5499999999999998,12088.95
2021-01,Apparel,Women's,Maryland,Northeast,4042,2,76.0,406,15916,34.36,0.91,6687.16
2021-01,Apparel,Women's,Massachusetts,Northeast,6063,3,123.0,527,22473,55.05999999999999,1.3399999999999999,9569.599999999999
2021-01,Apparel,Women's,Michigan,Midwest,4042,2,59.0,548,16317,33.269999999999996,1.13,8622.21
2021-01,Apparel,Women's,Mississippi,South,6063,3,66.0,730,16900,29.700000000000003,1.35,7182.04
2021-01,Apparel,Women's,Missouri,Midwest,4042,2,49.0,613,15187,27.86,1.1400000000000001,8057.18
2021-01,Apparel,Women's,Montana,Midwest,20210,10,497.0,2653,132682,156.68,3.17,36879.92
2021-01,Apparel,Women's,New Hampshire,Northeast,6063,3,150.0,483,25017,53.92,1.0699999999999998,8223.0
2021-01,Apparel,Women's,New Jersey,Northeast,4042,2,77.0,381,14997,32.5,0.85,5698.5
2021-01,Apparel,Women's,New Mexico,West,6063,3,104.0,707,26132,33.0,0.96,7397.08
2021-01,Apparel,Women's,New York,Northeast,4042,2,78.0,756,29928,25.200000000000003,0.65,8371.2
2021-01,Apparel,Women's,North Carolina,Southeast,4042,2,67.0,748,25661,38.3,1.15,13660.9
2021-01,Apparel,Women's,North Dakota,Midwest,4042,2,58.0,325,9600,26.560000000000002,0.92,4092.0
2021-01,Apparel,Women's,Ohio,Midwest,4042,2,77.0,381,14997,35.980000000000004,0.9400000000000001,6418.38
2021-01,Apparel,Women's,Oklahoma,South,6063,3,65.0,571,13119,26.54,1.22,4984.01
2021-01,Apparel,Women's,Oregon,West,6063,3,120.0,712,30012,49.03,1.23,11392.46
