Invoice Date,Year,Month_Number,Month_Name,Region,State,City,Category,Subcategory,Product,Price per Unit,Units Sold,Total Sales,Profit per Unit,Operating Margin,Total Operating Profit,Year-Month
2020-02-09,2020,2,Feb,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,850,42500,17.499999999999996,0.35,14874.999999999998,2020-02
2020-02-10,2020,2,Feb,Northeast,New York,New York,Apparel,Men's,Men's Apparel,60.0,875,52500,18.0,0.3,15750.0,2020-02
2020-03-03,2020,3,Mar,Northeast,New York,New York,Apparel,Women's,Women's Apparel,65.0,1000,65000,16.25,0.25,16250.0,2020-03
2020-03-04,2020,3,Mar,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,60.0,1250,75000,30.0,0.5,37500.0,2020-03
2020-03-05,2020,3,Mar,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,55.00000000000001,1000,55000,16.5,0.3,16500.0,2020-03
2020-03-06,2020,3,Mar,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,50.0,925,46250,17.499999999999996,0.35,16187.499999999998,2020-03
2020-03-07,2020,3,Mar,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,900,45000,17.499999999999996,0.35,15749.999999999998,2020-03
2020-03-08,2020,3,Mar,Northeast,New York,New York,Apparel,Men's,Men's Apparel,60.0,900,54000,18.0,0.3,16200.0,2020-03
2020-03-09,2020,3,Mar,Northeast,New York,New York,Apparel,Women's,Women's Apparel,65.0,1050,68250,16.25,0.25,17062.5,2020-03
2020-03-10,2020,3,Mar,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,60.0,1275,76500,30.0,0.5,38250.0,2020-03
2020-03-11,2020,3,Mar,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,55.00000000000001,1025,56375,16.5,0.3,16912.5,2020-03
2020-03-12,2020,3,Mar,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,50.0,950,47500,17.5,0.35,16625.0,2020-03
2020-03-13,2020,3,Mar,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,900,45000,17.499999999999996,0.35,15749.999999999998,2020-03
2020-03-14,2020,3,Mar,Northeast,New York,New York,Apparel,Men's,Men's Apparel,60.0,925,55500,18.0,0.3,16650.0,2020-03
2020-03-15,2020,3,Mar,Northeast,New York,New York,Apparel,Women's,Women's Apparel,65.0,1100,71500,16.25,0.25,17875.0,2020-03
2020-03-16,2020,3,Mar,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,60.0,1250,75000,30.0,0.5,37500.0,2020-03
2020-03-17,2020,3,Mar,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,55.00000000000001,1025,56375,16.5,0.3,16912.5,2020-03
2020-03-18,2020,3,Mar,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,50.0,950,47500,17.5,0.35,16625.0,2020-03
2020-03-31,2020,3,Mar,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,925,46250,17.499999999999996,0.35,16187.499999999998,2020-03
2020-04-17,2020,4,Apr,Northeast,New York,New York,Apparel,Men's,Men's Apparel,60.0,900,54000,18.0,0.3,16200.0,2020-04
2020-04-18,2020,4,Apr,Northeast,New York,New York,Apparel,Women's,Women's Apparel,65.0,1075,69875,16.25,0.25,17468.75,2020-04
2020-04-19,2020,4,Apr,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,60.0,1200,72000,30.0,0.5,36000.0,2020-04
2020-04-20,2020,4,Apr,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,55.00000000000001,1000,55000,16.5,0.3,16500.0,2020-04
2020-04-21,2020,4,Apr,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,50.0,925,46250,17.499999999999996,0.35,16187.499999999998,2020-04
2020-04-22,2020,4,Apr,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,900,45000,17.499999999999996,0.35,15749.999999999998,2020-04
2020-04-23,2020,4,Apr,Northeast,New York,New York,Apparel,Men's,Men's Apparel,60.0,900,54000,18.0,0.3,16200.0,2020-04
2020-04-24,2020,4,Apr,Northeast,New York,New York,Apparel,Women's,Women's Apparel,65.0,1000,65000,16.25,0.25,16250.0,2020-04
2020-04-25,2020,4,Apr,Northeast,New York,New York,Apparel,Men's,Men's Apparel,65.0,875,56875,19.5,0.3,17062.5,2020-04
2020-04-26,2020,4,Apr,Northeast,New York,New York,Apparel,Women's,Women's Apparel,70.0,1000,70000,17.5,0.25,17500.0,2020-04
2020-04-27,2020,4,Apr,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,65.0,1150,74750,32.5,0.5,37375.0,2020-04
2020-04-28,2020,4,Apr,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,55.00000000000001,975,53625,16.5,0.3,16087.5,2020-04
2020-04-29,2020,4,Apr,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,55.00000000000001,920,50600,19.25,0.35,17710.0,2020-04
2020-04-30,2020,4,Apr,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,55.00000000000001,900,49500,19.25,0.35,17325.0,2020-04
2020-05-01,2020,5,May,Northeast,New York,New York,Apparel,Men's,Men's Apparel,65.0,875,56875,19.5,0.3,17062.5,2020-05
2020-05-02,2020,5,May,Northeast,New York,New York,Apparel,Women's,Women's Apparel,70.0,975,68250,17.5,0.25,17062.5,2020-05
2020-05-03,2020,5,May,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,65.0,1200,78000,32.5,0.5,39000.0,2020-05
2020-05-04,2020,5,May,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,55.00000000000001,1000,55000,16.5,0.3,16500.0,2020-05
2020-05-05,2020,5,May,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,55.00000000000001,950,52250,19.25,0.35,18287.5,2020-05
2020-05-06,2020,5,May,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,55.00000000000001,900,49500,19.25,0.35,17325.0,2020-05
2020-05-07,2020,5,May,Northeast,New York,New York,Apparel,Men's,Men's Apparel,65.0,900,58500,19.5,0.3,17550.0,2020-05
2020-07-18,2020,7,Jul,Northeast,New York,New York,Apparel,Women's,Women's Apparel,70.0,1000,70000,17.5,0.25,17500.0,2020-07
2020-07-19,2020,7,Jul,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,25.0,900,22500,8.749999999999998,0.35,7874.999999999999,2020-07
2020-07-20,2020,7,Jul,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,35.0,900,31500,12.25,0.35,11025.0,2020-07
2020-07-21,2020,7,Jul,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,35.0,700,24500,12.25,0.35,8575.0,2020-07
2020-07-22,2020,7,Jul,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,35.0,700,24500,15.75,0.45,11025.0,2020-07
2020-07-23,2020,7,Jul,South,Texas,Houston,Apparel,Men's,Men's Apparel,40.0,550,22000,12.0,0.3,6600.0,2020-07
2020-07-24,2020,7,Jul,South,Texas,Houston,Apparel,Women's,Women's Apparel,35.0,700,24500,17.5,0.5,12250.0,2020-07
2020-07-25,2020,7,Jul,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,25.0,850,21250,8.749999999999998,0.35,7437.499999999999,2020-07
2020-07-26,2020,7,Jul,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,35.0,850,29750,12.25,0.35,10412.5,2020-07
2020-07-27,2020,7,Jul,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,35.0,675,23625,12.25,0.35,8268.75,2020-07
2020-07-28,2020,7,Jul,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,35.0,625,21875,15.75,0.45,9843.75,2020-07
2020-07-29,2020,7,Jul,South,Texas,Houston,Apparel,Men's,Men's Apparel,40.0,500,20000,12.0,0.3,6000.0,2020-07
2020-07-30,2020,7,Jul,South,Texas,Houston,Apparel,Women's,Women's Apparel,35.0,700,24500,17.5,0.5,12250.0,2020-07
2020-07-31,2020,7,Jul,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,30.0,875,26250,10.5,0.35,9187.5,2020-07
2020-08-01,2020,8,Aug,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,40.0,875,35000,14.0,0.35,12250.0,2020-08
2020-08-02,2020,8,Aug,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,35.0,700,24500,12.25,0.35,8575.0,2020-08
2020-08-03,2020,8,Aug,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,40.0,600,24000,18.0,0.45,10800.0,2020-08
2020-08-04,2020,8,Aug,South,Texas,Houston,Apparel,Men's,Men's Apparel,45.0,500,22500,13.5,0.3,6750.0,2020-08
2020-08-05,2020,8,Aug,South,Texas,Houston,Apparel,Women's,Women's Apparel,40.0,650,26000,20.0,0.5,13000.0,2020-08
2020-08-06,2020,8,Aug,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,30.0,900,27000,10.5,0.35,9450.0,2020-08
2020-08-07,2020,8,Aug,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,40.0,900,36000,14.0,0.35,12600.0,2020-08
2020-08-08,2020,8,Aug,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,35.0,725,25375,12.25,0.35,8881.25,2020-08
2020-08-09,2020,8,Aug,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,40.0,625,25000,18.0,0.45,11250.0,2020-08
2020-08-10,2020,8,Aug,South,Texas,Houston,Apparel,Men's,Men's Apparel,45.0,525,23625,13.5,0.3,7087.5,2020-08
2020-08-11,2020,8,Aug,South,Texas,Houston,Apparel,Women's,Women's Apparel,40.0,800,32000,20.0,0.5,16000.0,2020-08
2020-08-12,2020,8,Aug,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,30.0,925,27750,10.5,0.35,9712.5,2020-08
2020-08-13,2020,8,Aug,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,40.0,925,37000,14.0,0.35,12950.0,2020-08
2020-08-14,2020,8,Aug,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,35.0,775,27125,12.25,0.35,9493.75,2020-08
2020-08-15,2020,8,Aug,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,40.0,700,28000,18.0,0.45,12600.0,2020-08
2020-08-16,2020,8,Aug,South,Texas,Houston,Apparel,Men's,Men's Apparel,45.0,600,27000,13.5,0.3,8100.0,2020-08
2020-08-17,2020,8,Aug,South,Texas,Houston,Apparel,Women's,Women's Apparel,40.0,950,38000,20.0,0.5,19000.0,2020-08
2020-08-18,2020,8,Aug,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,40.0,950,38000,14.0,0.35,13300.0,2020-08
2020-08-19,2020,8,Aug,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,45.0,950,42750,15.749999999999998,0.35,14962.499999999998,2020-08
2020-08-20,2020,8,Aug,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,40.0,800,32000,14.0,0.35,11200.0,2020-08
2020-08-21,2020,8,Aug,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,40.0,750,30000,18.0,0.45,13500.0,2020-08
2020-08-22,2020,8,Aug,South,Texas,Houston,Apparel,Men's,Men's Apparel,45.0,650,29250,13.5,0.3,8775.0,2020-08
2020-08-23,2020,8,Aug,South,Texas,Houston,Apparel,Women's,Women's Apparel,50.0,1000,50000,25.0,0.5,25000.0,2020-08
2020-08-24,2020,8,Aug,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,40.0,950,38000,14.0,0.35,13300.0,2020-08
2020-08-25,2020,8,Aug,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,45.0,950,42750,15.749999999999998,0.35,14962.499999999998,2020-08
2020-08-26,2020,8,Aug,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,40.0,1100,44000,13.999999999999998,0.35,15399.999999999998,2020-08
2020-08-27,2020,8,Aug,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,40.0,700,28000,18.0,0.45,12600.0,2020-08
2020-08-28,2020,8,Aug,South,Texas,Houston,Apparel,Men's,Men's Apparel,45.0,700,31500,13.5,0.3,9450.0,2020-08
2020-08-29,2020,8,Aug,South,Texas,Houston,Apparel,Women's,Women's Apparel,50.0,975,48750,25.0,0.5,24375.0,2020-08
2020-08-30,2020,8,Aug,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,40.0,925,37000,14.0,0.35,12950.0,2020-08
2020-08-31,2020,8,Aug,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,45.0,925,41625,15.749999999999998,0.35,14568.749999999998,2020-08
2020-09-01,2020,9,Sep,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,40.0,1100,44000,13.999999999999998,0.35,15399.999999999998,2020-09
2020-09-02,2020,9,Sep,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,40.0,650,26000,18.0,0.45,11700.0,2020-09
2020-09-03,2020,9,Sep,South,Texas,Houston,Apparel,Men's,Men's Apparel,45.0,650,29250,13.5,0.3,8775.0,2020-09
2020-09-04,2020,9,Sep,South,Texas,Houston,Apparel,Women's,Women's Apparel,50.0,900,45000,25.0,0.5,22500.0,2020-09
2020-09-05,2020,9,Sep,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,45.0,850,38250,15.75,0.35,13387.5,2020-09
2020-09-06,2020,9,Sep,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,45.0,850,38250,15.75,0.35,13387.5,2020-09
2020-09-07,2020,9,Sep,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,50.0,900,45000,17.499999999999996,0.35,15749.999999999998,2020-09
2020-09-08,2020,9,Sep,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,625,31250,22.5,0.45,14062.5,2020-09
2020-09-09,2020,9,Sep,South,Texas,Houston,Apparel,Men's,Men's Apparel,45.0,625,28125,13.5,0.3,8437.5,2020-09
2020-09-10,2020,9,Sep,South,Texas,Houston,Apparel,Women's,Women's Apparel,55.00000000000001,850,46750,27.5,0.5,23375.0,2020-09
2020-09-11,2020,9,Sep,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,45.0,800,36000,15.75,0.35,12600.0,2020-09
2020-09-12,2020,9,Sep,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,45.0,800,36000,15.75,0.35,12600.0,2020-09
2020-09-13,2020,9,Sep,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,50.0,750,37500,17.5,0.35,13125.0,2020-09
2020-09-14,2020,9,Sep,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,600,30000,22.5,0.45,13500.0,2020-09
2020-09-15,2020,9,Sep,South,Texas,Houston,Apparel,Men's,Men's Apparel,45.0,575,25875,13.5,0.3,7762.5,2020-09
2020-09-16,2020,9,Sep,South,Texas,Houston,Apparel,Women's,Women's Apparel,55.00000000000001,750,41250,27.5,0.5,20625.0,2020-09
2020-10-20,2020,10,Oct,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,45.0,900,40500,15.75,0.35,14175.0,2020-10
2020-10-21,2020,10,Oct,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,45.0,900,40500,15.75,0.35,14175.0,2020-10
2020-10-22,2020,10,Oct,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,50.0,825,41250,17.499999999999996,0.35,14437.499999999998,2020-10
2020-10-23,2020,10,Oct,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,675,33750,22.5,0.45,15187.5,2020-10
2020-10-24,2020,10,Oct,South,Texas,Houston,Apparel,Men's,Men's Apparel,45.0,650,29250,13.5,0.3,8775.0,2020-10
2020-10-25,2020,10,Oct,South,Texas,Houston,Apparel,Women's,Women's Apparel,55.00000000000001,850,46750,27.5,0.5,23375.0,2020-10
2020-10-26,2020,10,Oct,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,45.0,950,42750,15.749999999999998,0.35,14962.499999999998,2020-10
2020-10-27,2020,10,Oct,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,45.0,950,42750,15.749999999999998,0.35,14962.499999999998,2020-10
2020-10-28,2020,10,Oct,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,50.0,850,42500,17.499999999999996,0.35,14874.999999999998,2020-10
2020-10-29,2020,10,Oct,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,700,35000,22.5,0.45,15750.0,2020-10
2020-10-30,2020,10,Oct,South,Texas,Houston,Apparel,Men's,Men's Apparel,45.0,650,29250,13.5,0.3,8775.0,2020-10
2020-10-31,2020,10,Oct,South,Texas,Houston,Apparel,Women's,Women's Apparel,55.00000000000001,900,49500,27.5,0.5,24750.0,2020-10
2020-11-01,2020,11,Nov,South,Texas,Houston,Street Footwear,Men's,Men's Street Footwear,40.0,775,31000,14.000000000000002,0.35000000000000003,10850.000000000002,2020-11
2020-11-02,2020,11,Nov,South,Texas,Houston,Athletic Footwear,Men's,Men's Athletic Footwear,50.0,775,38750,10.0,0.2,7750.0,2020-11
2020-11-03,2020,11,Nov,South,Texas,Houston,Street Footwear,Women's,Women's Street Footwear,50.0,775,38750,17.500000000000004,0.35000000000000003,13562.500000000002,2020-11
2020-11-04,2020,11,Nov,South,Texas,Houston,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,625,31250,15.0,0.3,9375.0,2020-11
2020-11-05,2020,11,Nov,West,California,San Francisco,Apparel,Men's,Men's Apparel,55.00000000000001,575,31625,27.5,0.5,15812.5,2020-11
2020-11-06,2020,11,Nov,West,California,San Francisco,Apparel,Women's,Women's Apparel,50.0,775,38750,7.500000000000001,0.15000000000000002,5812.500000000001,2020-11
2020-11-07,2020,11,Nov,West,California,San Francisco,Street Footwear,Men's,Men's Street Footwear,40.0,825,33000,14.000000000000002,0.35000000000000003,11550.000000000002,2020-11
2020-11-08,2020,11,Nov,West,California,San Francisco,Athletic Footwear,Men's,Men's Athletic Footwear,50.0,725,36250,10.0,0.2,7250.0,2020-11
2020-11-09,2020,11,Nov,West,California,San Francisco,Street Footwear,Women's,Women's Street Footwear,50.0,725,36250,17.500000000000004,0.35000000000000003,12687.500000000002,2020-11
2020-11-10,2020,11,Nov,West,California,San Francisco,Athletic Footwear,Women's,Women's Athletic Footwear,50.0,575,28750,15.0,0.3,8625.0,2020-11
2020-11-11,2020,11,Nov,West,California,San Francisco,Apparel,Men's,Men's Apparel,55.00000000000001,500,27500,27.5,0.5,13750.0,2020-11
2020-11-12,2020,11,Nov,West,California,San Francisco,Apparel,Women's,Women's Apparel,50.0,700,35000,7.500000000000001,0.15000000000000002,5250.000000000001,2020-11
2020-11-13,2020,11,Nov,West,California,San Francisco,Street Footwear,Men's,Men's Street Footwear,50.0,850,42500,17.500000000000004,0.35000000000000003,14875.000000000002,2020-11
2020-11-14,2020,11,Nov,West,California,San Francisco,Athletic Footwear,Men's,Men's Athletic Footwear,60.0,700,42000,12.0,0.2,8400.0,2020-11
2020-11-15,2020,11,Nov,West,California,San Francisco,Street Footwear,Women's,Women's Street Footwear,60.0,700,42000,21.000000000000004,0.35000000000000003,14700.000000000002,2020-11
2020-12-22,2020,12,Dec,West,California,San Francisco,Athletic Footwear,Women's,Women's Athletic Footwear,60.0,600,36000,18.0,0.3,10800.0,2020-12
2020-12-23,2020,12,Dec,West,California,San Francisco,Apparel,Men's,Men's Apparel,65.0,500,32500,32.5,0.5,16250.0,2020-12
2020-12-24,2020,12,Dec,West,California,San Francisco,Apparel,Women's,Women's Apparel,60.0,700,42000,9.000000000000002,0.15000000000000002,6300.000000000001,2020-12
2020-12-25,2020,12,Dec,West,California,San Francisco,Street Footwear,Men's,Men's Street Footwear,60.0,875,52500,21.0,0.35000000000000003,18375.0,2020-12
2020-12-26,2020,12,Dec,West,California,San Francisco,Athletic Footwear,Men's,Men's Athletic Footwear,65.0,675,43875,13.0,0.2,8775.0,2020-12
2020-12-27,2020,12,Dec,West,California,San Francisco,Street Footwear,Women's,Women's Street Footwear,65.0,725,47125,22.75,0.35000000000000003,16493.75,2020-12
2020-12-28,2020,12,Dec,West,California,San Francisco,Athletic Footwear,Women's,Women's Athletic Footwear,60.0,625,37500,18.0,0.3,11250.0,2020-12
2020-12-29,2020,12,Dec,West,California,San Francisco,Apparel,Men's,Men's Apparel,65.0,525,34125,32.5,0.5,17062.5,2020-12
2020-12-30,2020,12,Dec,West,California,San Francisco,Apparel,Women's,Women's Apparel,80.0,700,56000,12.000000000000002,0.15000000000000002,8400.000000000002,2020-12
2020-12-31,2020,12,Dec,West,California,San Francisco,Street Footwear,Men's,Men's Street Footwear,60.0,900,54000,24.0,0.4,21600.0,2020-12
2021-01-01,2021,1,Jan,West,California,San Francisco,Athletic Footwear,Men's,Men's Athletic Footwear,65.0,750,48750,16.25,0.25,12187.5,2021-01
2021-01-02,2021,1,Jan,West,California,San Francisco,Street Footwear,Women's,Women's Street Footwear,65.0,750,48750,26.0,0.4,19500.0,2021-01
2021-01-03,2021,1,Jan,West,California,San Francisco,Athletic Footwear,Women's,Women's Athletic Footwear,60.0,650,39000,21.0,0.35,13650.0,2021-01
2021-01-04,2021,1,Jan,West,California,San Francisco,Apparel,Men's,Men's Apparel,65.0,550,35750,35.75,0.55,19662.5,2021-01
2021-01-05,2021,1,Jan,West,California,San Francisco,Apparel,Women's,Women's Apparel,80.0,725,58000,16.0,0.2,11600.0,2021-01
2021-01-06,2021,1,Jan,West,California,San Francisco,Street Footwear,Men's,Men's Street Footwear,60.0,975,58500,24.0,0.4,23400.0,2021-01
2021-01-07,2021,1,Jan,West,California,San Francisco,Athletic Footwear,Men's,Men's Athletic Footwear,65.0,825,53625,16.25,0.25,13406.25,2021-01
2021-01-08,2021,1,Jan,West,California,San Francisco,Street Footwear,Women's,Women's Street Footwear,65.0,825,53625,26.0,0.4,21450.0,2021-01
2021-01-09,2021,1,Jan,West,California,San Francisco,Athletic Footwear,Women's,Women's Athletic Footwear,60.0,700,42000,20.999999999999996,0.35,14699.999999999998,2021-01
2021-01-10,2021,1,Jan,West,California,San Francisco,Apparel,Men's,Men's Apparel,65.0,575,37375,35.75,0.55,20556.25,2021-01
2021-01-11,2021,1,Jan,West,California,San Francisco,Apparel,Women's,Women's Apparel,80.0,875,70000,16.0,0.2,14000.0,2021-01
2021-01-12,2021,1,Jan,West,California,San Francisco,Street Footwear,Men's,Men's Street Footwear,60.0,1025,61500,21.000000000000004,0.35000000000000003,21525.000000000004,2021-01
2021-01-13,2021,1,Jan,West,California,San Francisco,Athletic Footwear,Men's,Men's Athletic Footwear,65.0,875,56875,13.0,0.2,11375.0,2021-01
2021-01-14,2021,1,Jan,West,California,San Francisco,Street Footwear,Women's,Women's Street Footwear,65.0,825,53625,22.75,0.35000000000000003,18768.75,2021-01
2021-01-15,2021,1,Jan,West,California,San Francisco,Athletic Footwear,Women's,Women's Athletic Footwear,60.0,725,43500,18.0,0.3,13050.0,2021-01
